"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2793","0.0-0.0","1532720412469","42-48","","","","","","","","","","","",""
"","survey-text","1","11998","0.0-1.0","1532720412469","42-48","9203","{""Q0"":""42-48""}","","","","","","","","","",""
"","my_image_button","2","32311","0.0-2.0-0.0","1532720412469","42-48","20312","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","58959","0.0-2.0-1.0","1532720412469","42-48","26646","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","64656","0.0-2.0-2.0","1532720412469","42-48","5697","","","0","","","","","","","",""
"","teacher","5","99161","0.0-3.0-0.0","1532720412469","42-48","16901","","","","true","204.06","801.46","101.32","742.36","[205,102]","[803,743]","null"
"","teacher","6","128404","0.0-3.0-1.0","1532720412469","42-48","10046","","","","true","337.4","666.35","275.93","873.61","","[335,878],[671,274]","null"
"","teacher","7","142324","0.0-3.0-2.0","1532720412469","42-48","7879","","","","true","338.85","544.33","313.91","682.79","","[338,312],[549,685]","null"
"","teacher","8","153524","0.0-3.0-3.0","1532720412469","42-48","8671","","","","true","189.63","691.33","773.72","870.92","","[188,874],[695,772]","null"
"","check_point_button","9","169260","0.0-4.0","1532720412469","42-48","15735","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","173260","0.0-5.0","1532720412469","42-48","3999","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","179820","0.0-6.0-0.0","1532720412469","42-48","5437","","","","false","712.19","858.5","515.12","777.82","","[711,514],[862,781]","null"
"","teacher","12","187036","0.0-6.0-1.0","1532720412469","42-48","6151","","","","false","251.47","348.67","496.11","709.05","","[250,713],[352,495]","null"
"","teacher","13","197760","0.0-6.0-2.0","1532720412469","42-48","9514","","","","false","473.03","577.42","497.28","623.22","","[471,627],[581,496]","null"
"","teacher","14","205463","0.0-6.0-3.0","1532720412469","42-48","6653","","","","false","454.02","626.41","227.56","611.75","","[452,226],[631,615]","null"
"","teacher","15","212551","0.0-6.0-4.0","1532720412469","42-48","5839","","","","false","414.74","653.77","172.37","269.57","","[413,171],[658,273]","null"
"","check_point_button","16","215152","0.0-7.0","1532720412469","42-48","2599","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","222880","0.0-8.0-0.0","1532720412469","42-48","6686","","","","false","453.68","627.07","685.37","782.57","","[451,683],[632,786]","null"
"","teacher","18","229769","0.0-8.0-1.0","1532720412469","42-48","5838","","","","false","566.06","663.26","168.98","266.18","","[564,167],[668,269]","null"
"","teacher","19","236184","0.0-8.0-2.0","1532720412469","42-48","5502","","","","false","748.04","845.24","498.46","604.94","","[746,496],[849,608]","null"
"","teacher","20","246696","0.0-8.0-3.0","1532720412469","42-48","8927","","","","false","709.37","806.57","141.95","507.65","","[707,139],[811,512]","null"
"","teacher","21","256074","0.0-8.0-4.0","1532720412469","42-48","8081","","","","false","382.65","779.28","371.36","603.47","[388,376],[776,601]","","null"
"","check_point_button","22","258011","0.0-9.0","1532720412469","42-48","1934","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","265146","0.0-10.0-0.0","1532720412469","42-48","5758","","","","false","289.03","677.02","194.24","611.06","[293,198],[675,608]","","null"
"","teacher","24","271291","0.0-10.0-1.0","1532720412469","42-48","5039","","","","false","219.51","351.8","684.35","863.58","[224,689],[349,862]","","null"
"","teacher","25","277515","0.0-10.0-2.0","1532720412469","42-48","5342","","","","false","328.25","775.96","395.85","649.65","[334,399],[774,648]","","null"
"","teacher","26","283275","0.0-10.0-3.0","1532720412469","42-48","4790","","","","false","476.25","811.91","698.07","839.56","[482,702],[811,839]","","null"
"","teacher","27","289383","0.0-10.0-4.0","1532720412469","42-48","5007","","","","false","692.19","868.58","180.4","353.2","[697,185],[867,350]","","null"
"","check_point_button","28","290571","0.0-11.0","1532720412469","42-48","1187","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","295924","0.0-12.0-0.0","1532720412469","42-48","3766","","","","false","163.67","689.15","137.97","542.97","[171,144],[686,541]","","null"
