"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","15037","0.0-0.0","1532716765196","40-43","","","","","","","","","","","",""
"","survey-text","1","21244","0.0-1.0","1532716765196","40-43","6205","{""Q0"":""40-43""}","","","","","","","","","",""
"","my_image_button","2","32924","0.0-2.0-0.0","1532716765196","40-43","11678","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","47228","0.0-2.0-1.0","1532716765196","40-43","14302","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","59044","0.0-2.0-2.0","1532716765196","40-43","11815","","","0","","","","","","","",""
"","teacher","5","86126","0.0-3.0-0.0","1532716765196","40-43","12991","","","","true","321.11","467.43","621.21","801.62","[336,641]","[477,814]","null"
"","teacher","6","116663","0.0-3.0-1.0","1532716765196","40-43","21855","","","","true","650.89","777.52","354.19","685.46","[713,528]","[716,694]","null"
"","teacher","7","142009","0.0-3.0-2.0","1532716765196","40-43","18265","","","","true","263.3","612.79","728.17","825.37","","[622,722],[257,833]","null"
"","teacher","8","153682","0.0-3.0-3.0","1532716765196","40-43","7758","","","","true","100.7","556.93","776","873.2","[113,790],[547,864]","","null"
"","check_point_button","9","158418","0.0-4.0","1532716765196","40-43","4734","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","171938","0.0-5.0","1532716765196","40-43","13519","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","188778","0.0-6.0-0.0","1532716765196","40-43","9782","","","","false","734.41","831.61","495.94","803.94","[744,507],[824,797]","","null"
"","teacher","12","198173","0.0-6.0-1.0","1532716765196","40-43","8369","","","","false","597.35","752.65","291.26","551.39","","[593,286],[760,557]","null"
"","teacher","13","204173","0.0-6.0-2.0","1532716765196","40-43","5102","","","","false","329.99","520.47","497.09","594.29","[341,507],[514,589]","","null"
"","teacher","14","209268","0.0-6.0-3.0","1532716765196","40-43","3999","","","","false","559.97","833.57","613.29","710.49","","[556,609],[839,718]","null"
"","teacher","15","214989","0.0-6.0-4.0","1532716765196","40-43","4143","","","","false","674.17","771.37","455.67","552.87","","[778,452],[669,561]","null"
"","check_point_button","16","219004","0.0-7.0","1532716765196","40-43","4015","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","230979","0.0-8.0-0.0","1532716765196","40-43","10719","","","","false","768.29","865.49","663.36","798.26","","[762,658],[874,808]","null"
"","teacher","18","237956","0.0-8.0-1.0","1532716765196","40-43","5671","","","","false","589.35","864.52","147.24","469","","[873,140],[584,479]","null"
"","teacher","19","244380","0.0-8.0-2.0","1532716765196","40-43","4991","","","","false","431.96","681.97","376.31","845.59","","[425,368],[691,854]","null"
"","teacher","20","250636","0.0-8.0-3.0","1532716765196","40-43","5078","","","","false","426.32","541.7","316.61","778.58","","[418,309],[551,788]","null"
"","teacher","21","257255","0.0-8.0-4.0","1532716765196","40-43","5618","","","","false","773.33","870.53","640.85","801.41","","[877,635],[767,812]","null"
"","check_point_button","22","259319","0.0-9.0","1532716765196","40-43","2063","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","266935","0.0-10.0-0.0","1532716765196","40-43","6703","","","","false","548.52","645.72","534.52","769.23","[560,544],[637,760]","","null"
"","teacher","24","272168","0.0-10.0-1.0","1532716765196","40-43","4319","","","","false","599.14","696.34","480.08","680.38","[609,489],[690,674]","","null"
"","teacher","25","276815","0.0-10.0-2.0","1532716765196","40-43","3463","","","","false","408.52","629.1","500.34","744.98","[418,512],[619,732]","","null"
"","teacher","26","282552","0.0-10.0-3.0","1532716765196","40-43","4486","","","","false","393.26","826.92","772.73","869.93","[404,862],[820,782]","","null"
"","teacher","27","288132","0.0-10.0-4.0","1532716765196","40-43","4344","","","","false","346.06","667.43","187.99","285.19","[357,198],[658,276]","","null"
"","check_point_button","28","289831","0.0-11.0","1532716765196","40-43","1698","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","295071","0.0-12.0-0.0","1532716765196","40-43","3999","","","","false","368.49","797.04","379.34","664.05","","[809,372],[361,674]","null"
"","teacher","30","300080","0.0-12.0-1.0","1532716765196","40-43","3951","","","","false","216.56","855.33","541.56","638.76","[230,553],[845,632]","","null"
"","teacher","31","304743","0.0-12.0-2.0","1532716765196","40-43","3350","","","","false","129.87","227.07","572.28","723.06","","[238,564],[121,735]","null"
"","teacher","32","309512","0.0-12.0-3.0","1532716765196","40-43","3790","","","","false","555.53","871.31","398.37","564.23","[566,410],[863,556]","","null"
"","teacher","33","314464","0.0-12.0-4.0","1532716765196","40-43","3926","","","","false","490.1","587.3","746.55","843.75","","[484,740],[595,851]","null"
"","check_point_button","34","316970","0.0-13.0","1532716765196","40-43","2506","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
"","teacher","35","323914","0.0-14.0-0.0","1532716765196","40-43","5446","","","","false","114.24","737.29","310.4","407.6","[123,320],[726,401]","","null"
"","teacher","36","338266","0.0-14.0-1.0","1532716765196","40-43","13047","","","","false","145.5","604.24","209.8","487.16","[154,217],[594,480]","","null"
"","teacher","37","343163","0.0-14.0-2.0","1532716765196","40-43","3760","","","","false","524.46","621.66","299.92","397.12","","[631,292],[518,407]","null"
"","teacher","38","348131","0.0-14.0-3.0","1532716765196","40-43","3599","","","","false","157.57","411.57","219.42","560.21","[168,232],[402,550]","","null"
"","teacher","39","353395","0.0-14.0-4.0","1532716765196","40-43","4007","","","","false","509.48","653.38","681.78","778.98","[517,692],[643,771]","","null"
"","check_point_button","40","354796","0.0-15.0","1532716765196","40-43","1399","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","",""
"","html-button-response","41","359483","0.0-16.0","1532716765196","40-43","4687","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE CON ESTAS PISTAS OTRO JUGADOR TENDRÁ QUE ADIVINAR EN DÓNDE ESTÁ LA CAJA! </p>","0","","","","","","","",""
"","teacher","42","365499","0.0-17.0-0.0","1532716765196","40-43","5151","","","","false","525.42","622.62","576.58","705.08","","[520,713],[630,570]","null"
"","teacher","43","370764","0.0-17.0-1.0","1532716765196","40-43","4135","","","","false","725.52","822.72","693.26","790.46","[733,701],[816,784]","","null"
"","teacher","44","376420","0.0-17.0-2.0","1532716765196","40-43","4239","","","","false","662.93","760.13","453.77","731.78","","[767,448],[657,741]","null"
"","teacher","45","381821","0.0-17.0-3.0","1532716765196","40-43","4321","","","","false","196.52","607.73","195.31","292.51","[601,203],[206,285]","","null"
"","teacher","46","386149","0.0-17.0-4.0","1532716765196","40-43","3055","","","","false","706.15","803.35","393.53","490.73","","[699,387],[813,499]","null"
"","check_point_button","47","388205","0.0-18.0","1532716765196","40-43","2055","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 6</font></p>","0","","","","","","","",""
"","teacher","48","395382","0.0-19.0-0.0","1532716765196","40-43","5598","","","","false","533.59","867.47","499.41","596.61","[862,591]","[526,492]","null"
"","teacher","49","400166","0.0-19.0-1.0","1532716765196","40-43","3422","","","","false","480.02","591.12","307.38","870.81","[584,861]","[472,298]","null"
"","teacher","50","405702","0.0-19.0-2.0","1532716765196","40-43","3878","","","","false","387.46","535.81","387.91","659.16","[396,652]","[545,380]","null"
"","teacher","51","413182","0.0-19.0-3.0","1532716765196","40-43","4695","","","","false","125.17","563.45","298.66","778.46","[556,771]","[119,290]","null"
"","teacher","52","418350","0.0-19.0-4.0","1532716765196","40-43","3887","","","","false","463.97","656.48","408.57","832.6","[649,823]","[457,401]","null"
"","check_point_button","53","419974","0.0-20.0","1532716765196","40-43","1624","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 7</font></p>","0","","","","","","","",""
"","teacher","54","424950","0.0-21.0-0.0","1532716765196","40-43","3935","","","","false","133.89","745.03","377.25","701.26","[736,387],[144,693]","","null"
