"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2541","0.0-0.0","1532117557863","7-236","","","","","","","","","","","",""
"","survey-text","1","20730","0.0-1.0","1532117557863","7-236","18188","{""Q0"":""7-236""}","","","","","","","","","",""
"","my_image_button","2","41595","0.0-2.0-0.0","1532117557863","7-236","20862","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","91045","0.0-2.0-1.0","1532117557863","7-236","49449","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","106788","0.0-2.0-2.0","1532117557863","7-236","15743","","","0","","","","","","","",""
"","teacher","5","129406","0.0-3.0-0.0","1532117557863","7-236","11965","","","","true","773.01","870.21","393.48","701.45","[790,556]","[767,394]","null"
"","teacher","6","145501","0.0-3.0-1.0","1532117557863","7-236","10534","","","","true","563.53","775.52","433.5","647.5","[770,643],[571,442]","","null"
"","teacher","7","159649","0.0-3.0-2.0","1532117557863","7-236","11850","","","","true","308.93","814.95","537.48","634.68","","[815,632],[301,638]","null"
"","teacher","8","168161","0.0-3.0-3.0","1532117557863","7-236","7071","","","","true","559.68","710.74","199.52","499.33","[562,212]","[720,375]","null"
"","check_point_button","9","200227","0.0-4.0","1532117557863","7-236","32062","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","206642","0.0-5.0","1532117557863","7-236","6414","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","216403","0.0-6.0-0.0","1532117557863","7-236","8023","","","","false","326.82","490.31","155.17","359.47","","[491,366],[323,156]","null"
"","teacher","12","226455","0.0-6.0-1.0","1532117557863","7-236","7627","","","","false","473.68","721.58","580.85","678.05","[480,669],[715,590]","","null"
"","teacher","13","233071","0.0-6.0-2.0","1532117557863","7-236","4910","","","","false","637.6","771.9","458.44","644.44","[652,638],[761,474]","","null"
"","teacher","14","240559","0.0-6.0-3.0","1532117557863","7-236","5535","","","","false","459.95","770.33","528.12","827.84","","[459,830],[775,526]","null"
"","teacher","15","250080","0.0-6.0-4.0","1532117557863","7-236","7510","","","","false","201.96","826.77","684.56","781.76","[205,690]","[827,779]","null"
"","check_point_button","16","267409","0.0-7.0","1532117557863","7-236","17327","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","279600","0.0-8.0-0.0","1532117557863","7-236","10478","","","","false","467.54","575.96","193.37","527.77","[572,519],[476,202]","","null"
"","teacher","18","288200","0.0-8.0-1.0","1532117557863","7-236","6886","","","","false","710.17","822.59","197.59","730.24","","[827,734],[705,196]","null"
"","teacher","19","294640","0.0-8.0-2.0","1532117557863","7-236","4740","","","","false","401.48","645.38","191.35","841.14","[411,202]","[648,832]","null"
"","teacher","20","304960","0.0-8.0-3.0","1532117557863","7-236","8903","","","","false","681.81","867.86","714.51","851.96","[694,848]","[876,715]","null"
"","teacher","21","311727","0.0-8.0-4.0","1532117557863","7-236","4942","","","","false","587.08","694.29","242.23","859.24","","[698,861],[584,244]","null"
"","check_point_button","22","314056","0.0-9.0","1532117557863","7-236","2327","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","319920","0.0-10.0-0.0","1532117557863","7-236","4174","","","","false","584.59","713.29","122.05","219.25","[587,132],[709,212]","","null"
"","teacher","24","327000","0.0-10.0-1.0","1532117557863","7-236","5303","","","","false","641.18","816.99","390.87","608.72","[816,401]","[577,627]","null"
"","teacher","25","333792","0.0-10.0-2.0","1532117557863","7-236","5263","","","","false","497.89","834.77","388.23","565.26","[833,558]","[487,340]","null"
"","teacher","26","339456","0.0-10.0-3.0","1532117557863","7-236","4495","","","","false","173.16","815.32","725.25","822.45","[176,731]","[818,820]","null"
"","teacher","27","345863","0.0-10.0-4.0","1532117557863","7-236","4456","","","","false","419.62","700.91","482.87","646.18","[422,496],[698,641]","","null"
"","check_point_button","28","348771","0.0-11.0","1532117557863","7-236","2906","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","355299","0.0-12.0-0.0","1532117557863","7-236","5373","","","","false","158.24","380.43","102.03","607.31","[372,600],[169,116]","","null"
"","teacher","30","361243","0.0-12.0-1.0","1532117557863","7-236","4686","","","","false","287.24","384.44","479.61","576.81","[288,482]","[389,574]","null"
"","teacher","31","366843","0.0-12.0-2.0","1532117557863","7-236","4495","","","","false","144.34","550.99","734.78","838.31","","[554,844],[148,733]","null"
"","teacher","32","373091","0.0-12.0-3.0","1532117557863","7-236","3847","","","","false","114.74","497.81","306.45","622.49","[496,619],[118,622]","","null"
"","teacher","33","380931","0.0-12.0-4.0","1532117557863","7-236","6231","","","","false","227.46","817.97","773.64","870.84","[803,867],[228,869]","","null"
"","check_point_button","34","382963","0.0-13.0","1532117557863","7-236","2030","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
