"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","7818","0.0-0.0","1532718043553","10-275","","","","","","","","","","","",""
"","survey-text","1","16930","0.0-1.0","1532718043553","10-275","9109","{""Q0"":""10-275""}","","","","","","","","","",""
"","my_image_button","2","31259","0.0-2.0-0.0","1532718043553","10-275","14326","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","47081","0.0-2.0-1.0","1532718043553","10-275","15821","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","54138","0.0-2.0-2.0","1532718043553","10-275","7055","","","0","","","","","","","",""
"","teacher","5","75756","0.0-3.0-0.0","1532718043553","10-275","9271","","","","true","154.9","528.38","136.9","330.56","[446,231]","[791,374]","null"
"","teacher","6","109221","0.0-3.0-1.0","1532718043553","10-275","23903","","","","true","347.73","681.15","499.95","604.02","[353,502],[680,604]","","null"
"","teacher","7","123047","0.0-3.0-2.0","1532718043553","10-275","7935","","","","true","375.07","550.99","361.52","833.71","","[376,359],[553,833]","null"
"","teacher","8","136023","0.0-3.0-3.0","1532718043553","10-275","8350","","","","true","227.39","324.59","274.96","614.9","","[325,275],[230,618]","null"
"","check_point_button","9","155017","0.0-4.0","1532718043553","10-275","18992","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","159288","0.0-5.0","1532718043553","10-275","4270","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","166895","0.0-6.0-0.0","1532718043553","10-275","6062","","","","false","97.61","460.95","523.78","803.45","[98,801]","[461,526]","null"
"","teacher","12","178831","0.0-6.0-1.0","1532718043553","10-275","9654","","","","false","591.81","846.57","687.72","784.92","","[847,689],[593,788]","null"
"","teacher","13","191330","0.0-6.0-2.0","1532718043553","10-275","5936","","","","false","587.49","746.16","394.59","630.12","","[587,395],[747,632]","null"
"","teacher","14","200601","0.0-6.0-3.0","1532718043553","10-275","4550","","","","false","390.43","705.49","295","458.42","[698,456],[402,302]","","null"
"","teacher","15","209041","0.0-6.0-4.0","1532718043553","10-275","5791","","","","false","235.72","764.44","171.66","269.54","[244,174]","[767,271]","null"
"","check_point_button","16","213698","0.0-7.0","1532718043553","10-275","4655","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","221497","0.0-8.0-0.0","1532718043553","10-275","5334","","","","false","743.67","840.87","683.31","811.71","","[743,682],[845,814]","null"
"","teacher","18","227138","0.0-8.0-1.0","1532718043553","10-275","4231","","","","false","565.45","839.9","259.73","819.18","[579,269]","[845,819]","null"
"","teacher","19","233042","0.0-8.0-2.0","1532718043553","10-275","3119","","","","false","479.94","577.14","395.02","712.45","","[581,719],[479,398]","null"
"","teacher","20","238778","0.0-8.0-3.0","1532718043553","10-275","4054","","","","false","423.98","708.7","290.42","824.74","[428,295]","[715,830]","null"
"","teacher","21","244820","0.0-8.0-4.0","1532718043553","10-275","3480","","","","false","174.37","844.11","742.5","839.7","[844,835],[190,752]","","null"
"","check_point_button","22","247444","0.0-9.0","1532718043553","10-275","2623","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","250420","0.0-10.0-0.0","1532718043553","10-275","1758","","","","false","127.34","422.75","468.36","565.56","","[616,227],[586,886]","null"
"","teacher","24","252252","0.0-10.0-1.0","1532718043553","10-275","862","","","","false","669.36","810.78","399.35","496.55","","[587,622],[414,504]","null"
"","teacher","25","254500","0.0-10.0-2.0","1532718043553","10-275","1151","","","","false","190.03","847.89","341.61","666.44","","[650,719],[545,796]","null"
"","teacher","26","261076","0.0-10.0-3.0","1532718043553","10-275","5078","","","","false","203.25","469.87","721.25","818.45","[458,731]","[282,827]","null"
