"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","2210","0.0-0.0","1528662119210","89-49","","","","","","","","","","","",""
"","survey-text","1","8249","0.0-1.0","1528662119210","89-49","6037","{""Q0"":""89-49""}","","","","","","","","","",""
"","my_image_button","2","16689","0.0-2.0-0.0","1528662119210","89-49","8438","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","30256","0.0-2.0-1.0","1528662119210","89-49","13566","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","33928","0.0-2.0-2.0","1528662119210","89-49","3672","","","0","","","","","","","",""
"","teacher","5","56129","0.0-3.0-0.0","1528662119210","89-49","12205","","","","true","501.96","848.36","712.59","809.79","","[460,753],[562,676]","null"
"","teacher","6","75682","0.0-3.0-1.0","1528662119210","89-49","10168","","","","true","731.27","828.47","263.06","360.26","[750,339],[749,312]","","null"
"","teacher","7","88811","0.0-3.0-2.0","1528662119210","89-49","7510","","","","true","341.78","622.02","719.62","816.82","","[339,698],[640,824]","null"
"","teacher","8","105619","0.0-3.0-3.0","1528662119210","89-49","8999","","","","true","414.24","801.9","104.67","624.38","","[387,609],[783,71]","null"
"","check_point_button","9","112339","0.0-4.0","1528662119210","89-49","6718","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","121260","0.0-5.0","1528662119210","89-49","8918","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","148631","0.0-6.0-0.0","1528662119210","89-49","25449","","","","false","211.21","308.41","123.52","835.52","[230,154]","[337,521]","null"
"","teacher","12","163736","0.0-6.0-1.0","1528662119210","89-49","12742","","","","false","672.56","834.1","485.46","844.3","","[648,637],[792,459]","null"
"","teacher","13","173655","0.0-6.0-2.0","1528662119210","89-49","8365","","","","false","683.9","783.74","379.82","737.97","[726,574],[737,403]","","null"
"","teacher","14","187255","0.0-6.0-3.0","1528662119210","89-49","11678","","","","false","292.56","521.49","386.31","686.3","[341,658]","[495,362]","null"
"","teacher","15","200943","0.0-6.0-4.0","1528662119210","89-49","11886","","","","false","128.4","225.6","589.56","863.79","","[374,544],[365,365]","null"
"","check_point_button","16","205073","0.0-7.0","1528662119210","89-49","4128","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","222666","0.0-8.0-0.0","1528662119210","89-49","15495","","","","false","638.2","872.71","226.5","822.66","","[303,262],[615,272]","null"
"","teacher","18","237577","0.0-8.0-1.0","1528662119210","89-49","12902","","","","false","191.23","497.58","509.19","606.39","[336,557]","[327,209]","null"
"","teacher","19","251442","0.0-8.0-2.0","1528662119210","89-49","11871","","","","false","329.85","565.38","670.81","818.72","","[340,646],[545,645]","null"
"","teacher","20","265693","0.0-8.0-3.0","1528662119210","89-49","12664","","","","false","698.69","820.58","263.93","763.2","[758,288]","[662,579]","null"
"","teacher","21","278165","0.0-8.0-4.0","1528662119210","89-49","10894","","","","false","694.42","791.62","471.62","821.22","[729,798]","[820,500]","null"
"","check_point_button","22","282797","0.0-9.0","1528662119210","89-49","4631","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","295933","0.0-10.0-0.0","1528662119210","89-49","11247","","","","false","349.1","522.66","754.69","851.89","[430,804]","[420,706]","null"
"","teacher","24","306653","0.0-10.0-1.0","1528662119210","89-49","8118","","","","false","589.99","731.84","757.2","854.4","","[574,757],[760,859]","null"
"","teacher","25","316557","0.0-10.0-2.0","1528662119210","89-49","8703","","","","false","718.64","873.36","747.17","844.37","[792,782]","[659,704]","null"
"","teacher","26","328919","0.0-10.0-3.0","1528662119210","89-49","10864","","","","false","162.26","803.35","673.06","868.11","[754,830]","[195,625]","null"
"","teacher","27","343138","0.0-10.0-4.0","1528662119210","89-49","11775","","","","false","389.29","856.48","252.38","420.99","","[492,561],[662,491]","null"
"","check_point_button","28","348832","0.0-11.0","1528662119210","89-49","5694","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","361864","0.0-12.0-0.0","1528662119210","89-49","11302","","","","false","110.09","239.11","761.14","858.34","[128,779],[214,783]","","null"
"","teacher","30","365593","0.0-12.0-1.0","1528662119210","89-49","2318","","","","false","774.22","871.42","637.11","752.74","","[732,655],[742,743]","null"
"","teacher","31","372960","0.0-12.0-2.0","1528662119210","89-49","5494","","","","false","349.4","713.66","608.63","834.2","","[349,574],[790,722]","null"
"","teacher","32","380913","0.0-12.0-3.0","1528662119210","89-49","5822","","","","false","689.02","786.22","347.26","444.46","[739,391]","[743,503]","null"
"","teacher","33","388676","0.0-12.0-4.0","1528662119210","89-49","6198","","","","false","416.87","675.64","717.99","815.19","[528,770]","[529,665]","null"
"","check_point_button","34","391179","0.0-13.0","1528662119210","89-49","2503","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
"","teacher","35","401011","0.0-14.0-0.0","1528662119210","89-49","8047","","","","false","615.13","722.7","242.84","753.53","[672,729]","[788,352]","null"
"","teacher","36","411348","0.0-14.0-1.0","1528662119210","89-49","8710","","","","false","427.56","601.31","445.93","543.13","[511,495]","[509,389]","null"
"","teacher","37","424581","0.0-14.0-2.0","1528662119210","89-49","11231","","","","false","570.03","735.2","172.93","740.68","[634,707]","[807,437]","null"
"","teacher","38","433804","0.0-14.0-3.0","1528662119210","89-49","7974","","","","false","542.43","639.63","345.93","653.51","[586,515]","[602,298]","null"
"","teacher","39","456445","0.0-14.0-4.0","1528662119210","89-49","21288","","","","false","507.86","605.06","590.02","744.04","[570,675]","[262,355]","null"
"","check_point_button","40","459845","0.0-15.0","1528662119210","89-49","3399","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","",""
"","html-button-response","41","466590","0.0-16.0","1528662119210","89-49","6744","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE CON ESTAS PISTAS OTRO JUGADOR TENDRÁ QUE ADIVINAR EN DÓNDE ESTÁ LA CAJA! </p>","0","","","","","","","",""
"","teacher","42","472830","0.0-17.0-0.0","1528662119210","89-49","4719","","","","false","571.68","785.75","122.52","242.33","","[223,636],[440,689]","null"
"","teacher","43","478374","0.0-17.0-1.0","1528662119210","89-49","3614","","","","false","455.08","644","285.89","756.95","","[148,73],[205,76]","null"
"","teacher","44","490517","0.0-17.0-2.0","1528662119210","89-49","11103","","","","false","318.54","476.1","768.79","868.25","[398,822]","[194,156]","null"
"","teacher","45","494463","0.0-17.0-3.0","1528662119210","89-49","2495","","","","false","565.8","663","126.63","457.25","","[152,69],[140,278]","null"
"","teacher","46","503910","0.0-17.0-4.0","1528662119210","89-49","6895","","","","false","704.27","801.47","389.68","767.92","[754,435]","[604,451]","null"
"","check_point_button","47","507030","0.0-18.0","1528662119210","89-49","3120","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 6</font></p>","0","","","","","","","",""
"","teacher","48","512023","0.0-19.0-0.0","1528662119210","89-49","3766","","","","false","301","534.12","139.7","540.08","","[366,829],[869,774]","null"
