"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","key_press"
"true","fullscreen","0","3713","0.0-0.0","1528570819035","11-10","","","","","","","","","","","",""
"","survey-text","1","13015","0.0-1.0","1528570819035","11-10","9299","{""Q0"":""11-10""}","","","","","","","","","",""
"","my_image_button","2","29664","0.0-2.0-0.0","1528570819035","11-10","16646","","img/caja.png","0","","","","","","","",""
"","my_image_button","3","48192","0.0-2.0-1.0","1528570819035","11-10","18527","","img/caja_con_ejemplos.png","0","","","","","","","",""
"","my_image_button","4","59778","0.0-2.0-2.0","1528570819035","11-10","11585","","","0","","","","","","","",""
"","teacher","5","80154","0.0-3.0-0.0","1528570819035","11-10","7948","","","","true","212.1","395.83","648.98","793.05","[237,674],[270,674]","","null"
"","teacher","6","94275","0.0-3.0-1.0","1528570819035","11-10","6190","","","","true","414.12","723.18","207.21","609.05","[577,417]","[381,402]","null"
"","teacher","7","108274","0.0-3.0-2.0","1528570819035","11-10","8727","","","","true","763.68","860.88","402.18","673.22","","[746,529],[874,531]","null"
"","teacher","8","118923","0.0-3.0-3.0","1528570819035","11-10","7311","","","","true","547.38","716.36","654.4","851.89","[641,671],[644,843]","","null"
"","check_point_button","9","134951","0.0-4.0","1528570819035","11-10","16027","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","",""
"","html-button-response","10","145223","0.0-5.0","1528570819035","11-10","10272","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","",""
"","teacher","11","167671","0.0-6.0-0.0","1528570819035","11-10","15887","","","","false","219.21","596.05","350.56","649.19","[235,635]","[601,347]","null"
"","teacher","12","185015","0.0-6.0-1.0","1528570819035","11-10","15695","","","","false","487.53","628.19","583.43","858.93","","[554,571],[633,864]","null"
"","teacher","13","195257","0.0-6.0-2.0","1528570819035","11-10","8607","","","","false","598.52","695.72","120.14","580.87","","[638,105],[649,597]","null"
"","teacher","14","208563","0.0-6.0-3.0","1528570819035","11-10","10823","","","","false","646.7","839.23","180.83","278.03","[838,232]","[645,225]","null"
"","teacher","15","214553","0.0-6.0-4.0","1528570819035","11-10","4580","","","","false","345.71","605.31","556.86","667.76","[352,562]","[610,668]","null"
"","check_point_button","16","218906","0.0-7.0","1528570819035","11-10","4351","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","",""
"","teacher","17","230226","0.0-8.0-0.0","1528570819035","11-10","8534","","","","false","153.01","335.8","124.04","731.56","[160,131]","[342,736]","null"
"","teacher","18","238650","0.0-8.0-1.0","1528570819035","11-10","6935","","","","false","722.43","828.25","573.22","838","","[770,560],[774,858]","null"
"","teacher","19","248794","0.0-8.0-2.0","1528570819035","11-10","8462","","","","false","557.06","659.71","409.99","600.28","[613,415]","[558,605]","null"
"","teacher","20","258508","0.0-8.0-3.0","1528570819035","11-10","8529","","","","false","97.57","194.77","417.06","620.14","","[210,519],[88,516]","null"
"","teacher","21","265836","0.0-8.0-4.0","1528570819035","11-10","6197","","","","false","117.65","214.85","331.47","428.67","[122,336]","[222,433]","null"
"","check_point_button","22","267429","0.0-9.0","1528570819035","11-10","1591","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","",""
"","teacher","23","274692","0.0-10.0-0.0","1528570819035","11-10","6143","","","","false","176.36","328.49","755.01","852.21","","[260,741],[255,864]","null"
"","teacher","24","280660","0.0-10.0-1.0","1528570819035","11-10","4871","","","","false","706.61","803.81","132.96","281.68","","[704,127],[811,287]","null"
"","teacher","25","288148","0.0-10.0-2.0","1528570819035","11-10","5431","","","","false","160.1","430.85","640.33","765.43","[170,647],[414,758]","","null"
"","teacher","26","295293","0.0-10.0-3.0","1528570819035","11-10","5168","","","","false","128.6","562.08","292.34","389.54","[560,343]","[110,332]","null"
"","teacher","27","312293","0.0-10.0-4.0","1528570819035","11-10","13023","","","","false","667.34","777.23","456.16","843","","[719,441],[781,648]","null"
"","check_point_button","28","313637","0.0-11.0","1528570819035","11-10","1343","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","",""
"","teacher","29","320944","0.0-12.0-0.0","1528570819035","11-10","5321","","","","false","747.97","845.17","225.26","579.36","[794,577]","[803,213]","null"
"","teacher","30","330160","0.0-12.0-1.0","1528570819035","11-10","7685","","","","false","167.94","864.92","710.69","807.89","[862,807]","[165,757]","null"
"","teacher","31","337664","0.0-12.0-2.0","1528570819035","11-10","5894","","","","false","310.43","567.28","533.75","742.23","[560,741]","[317,532]","null"
"","teacher","32","349535","0.0-12.0-3.0","1528570819035","11-10","9623","","","","false","270.84","521.76","149.68","672.82","","[279,148],[522,659]","null"
"","teacher","33","357888","0.0-12.0-4.0","1528570819035","11-10","6622","","","","false","452.02","549.22","257.38","567.58","[502,566]","[504,248]","null"
"","check_point_button","34","359648","0.0-13.0","1528570819035","11-10","1760","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","",""
"","teacher","35","369889","0.0-14.0-0.0","1528570819035","11-10","7222","","","","false","277.89","842.84","117.84","215.04","[284,212]","[857,134]","null"
"","teacher","36","374248","0.0-14.0-1.0","1528570819035","11-10","3334","","","","false","293.48","580.17","295.52","392.72","","[283,340],[595,345]","null"
"","teacher","37","380035","0.0-14.0-2.0","1528570819035","11-10","4046","","","","false","178.55","761.64","104.89","202.09","[185,111],[759,199]","","null"
"","teacher","38","390268","0.0-14.0-3.0","1528570819035","11-10","8703","","","","false","249.31","725.07","325.86","459.91","[723,383]","[243,383]","null"
"","teacher","39","399139","0.0-14.0-4.0","1528570819035","11-10","7503","","","","false","584.2","791.64","351.32","712.97","[684,356]","[688,717]","null"
