"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","4179","0.0-0.0","1532717517045","11-271","","","","","","","","","","","","",""
"","survey-text","1","17747","0.0-1.0","1532717517045","11-271","13565","{""Q0"":""11-271""}","","","","","","","","","","",""
"","my_image_button","2","34323","0.0-2.0-0.0","1532717517045","11-271","16573","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","167968","0.0-2.0-1.0","1532717517045","11-271","133643","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","184575","0.0-2.0-2.0","1532717517045","11-271","16606","","","0","","","","","","","","",""
"","learner","5","235363","0.0-3.0-0.0","1532717517045","11-271","50780","","","","true","382","616","447","764","[524.69,690.84],[443.12,546.38]","","true","null"
"","learner","6","249243","0.0-3.0-1.0","1532717517045","11-271","13878","","","","true","265","515","448","614","[368.47,524.43]","[544.22,742.44]","true","null"
"","learner","7","290169","0.0-3.0-2.0","1532717517045","11-271","40922","","","","true","308","559","425","636","","[395.36,394.53],[435.61,287.11]","true","null"
"","learner","8","306272","0.0-3.0-3.0","1532717517045","11-271","16101","","","","true","211","475","426","646","[330.83,523.63]","[252.51,331.02]","true","null"
"","check_point_button","9","348153","0.0-4.0","1532717517045","11-271","41879","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","357883","0.0-5.0","1532717517045","11-271","9728","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","383259","0.0-6.0-0.0","1532717517045","11-271","25374","","","","false","201","513","468","682","[291.12,502.08],[385.25,607.22]","","true","null"
"","learner","12","396908","0.0-6.0-1.0","1532717517045","11-271","13645","","","","false","152","719","66","524","","[383.96,693.55],[608.71,623.11]","true","null"
"","learner","13","412492","0.0-6.0-2.0","1532717517045","11-271","15582","","","","false","56","863","38","868","[652.89,696.08],[642.83,502.36]","","true","null"
"","learner","14","421478","0.0-6.0-3.0","1532717517045","11-271","8984","","","","false","235","526","373","664","[387.68,502.46]","[583.25,600.03]","true","null"
"","learner","15","431798","0.0-6.0-4.0","1532717517045","11-271","10317","","","","false","241","462","591","691","[355.9,628.08]","[426.86,775.9]","true","null"
"","check_point_button","16","439318","0.0-7.0","1532717517045","11-271","7519","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","449757","0.0-8.0-0.0","1532717517045","11-271","10438","","","","false","329","722","416","687","[587.49,553],[412.04,486.78]","","true","null"
"","learner","18","461622","0.0-8.0-1.0","1532717517045","11-271","11863","","","","false","456","615","380","567","[532.54,465.49]","[626.72,317.79]","true","null"
"","learner","19","472750","0.0-8.0-2.0","1532717517045","11-271","11127","","","","false","32","926","535","934","","[474.97,468.31],[631.72,248.22]","true","null"
