"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2606","0.0-0.0","1532110742742","6-208","","","","","","","","","","","","",""
"","survey-text","1","12990","0.0-1.0","1532110742742","6-208","10381","{""Q0"":""6-208""}","","","","","","","","","","",""
"","my_image_button","2","27293","0.0-2.0-0.0","1532110742742","6-208","14302","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","45918","0.0-2.0-1.0","1532110742742","6-208","18623","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","55798","0.0-2.0-2.0","1532110742742","6-208","9879","","","0","","","","","","","","",""
"","learner","5","88089","0.0-3.0-0.0","1532110742742","6-208","32287","","","","true","460","595","283","512","[633.22,376.18],[459.85,283.77]","","false","null"
"","learner","6","116674","0.0-3.0-1.0","1532110742742","6-208","28582","","","","true","593","742","513","660","[567.94,515.1]","[766.47,664.3]","false","null"
"","learner","7","132356","0.0-3.0-2.0","1532110742742","6-208","15681","","","","true","677","945","526","699","","[576.23,693.01],[675.98,520.92]","true","null"
"","learner","8","144212","0.0-3.0-3.0","1532110742742","6-208","11853","","","","true","332","596","565","743","[329.1,559.9]","[211.32,406.58]","false","null"
"","check_point_button","9","154886","0.0-4.0","1532110742742","6-208","10672","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","1","","","","","","","","",""
"","html-button-response","10","170244","0.0-5.0","1532110742742","6-208","15357","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","178772","0.0-6.0-0.0","1532110742742","6-208","8526","","","","false","479","768","548","725","[360.86,671.85],[479.15,548.94]","","false","null"
"","learner","12","189125","0.0-6.0-1.0","1532110742742","6-208","10350","","","","false","502","875","583","785","[688.56,456.66]","[509.37,586.68]","false","null"
"","learner","13","197982","0.0-6.0-2.0","1532110742742","6-208","8856","","","","false","222","479","549","731","[221.49,543.6]","[577.29,664.56]","false","null"
"","learner","14","213566","0.0-6.0-3.0","1532110742742","6-208","15582","","","","false","471","823","641","866","","[341.38,706.49],[465.77,634.01]","true","null"
"","learner","15","219327","0.0-6.0-4.0","1532110742742","6-208","5759","","","","false","590","906","693","870","[609.03,565.8],[582.75,687.91]","","false","null"
"","check_point_button","16","228072","0.0-7.0","1532110742742","6-208","8742","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","234895","0.0-8.0-0.0","1532110742742","6-208","6822","","","","false","523","940","468","813","","[519.19,472.83],[730.44,297.84]","true","null"
"","learner","18","241158","0.0-8.0-1.0","1532110742742","6-208","6261","","","","false","471","638","332","524","[467.94,331.51]","[689.26,464.07]","false","null"
"","learner","19","252822","0.0-8.0-2.0","1532110742742","6-208","11663","","","","false","357","654","663","885","","[358.42,667.13],[385.58,558.17]","false","null"
"","learner","20","260698","0.0-8.0-3.0","1532110742742","6-208","7874","","","","false","583","859","114","398","","[593.99,597.13],[575.22,396.71]","true","null"
"","learner","21","265761","0.0-8.0-4.0","1532110742742","6-208","5062","","","","false","490","835","460","645","[479.74,460.57],[351.69,354.05]","","false","null"
"","check_point_button","22","268137","0.0-9.0","1532110742742","6-208","2375","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","273609","0.0-10.0-0.0","1532110742742","6-208","5470","","","","false","595","958","453","690","[594.18,446.2]","[422.84,371.1]","false","null"
"","learner","24","277129","0.0-10.0-1.0","1532110742742","6-208","3519","","","","false","535","946","710","871","","[640.54,269.81],[531.37,709.99]","true","null"
"","learner","25","287570","0.0-10.0-2.0","1532110742742","6-208","10439","","","","false","465","647","240","472","[646.19,478.57],[691.84,697.31]","","false","null"
"","learner","26","295330","0.0-10.0-3.0","1532110742742","6-208","7758","","","","false","495","722","140","409","[419.44,400.44],[387.96,503.69]","","false","null"
"","learner","27","301218","0.0-10.0-4.0","1532110742742","6-208","5886","","","","false","286","606","681","891","[292.8,681.58],[328.59,583.9]","","false","null"
"","check_point_button","28","315315","0.0-11.0","1532110742742","6-208","14095","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","323148","0.0-12.0-0.0","1532110742742","6-208","7832","","","","false","530","901","350","622","","[573.07,734.78],[540.54,610.97]","false","null"
"","learner","30","327420","0.0-12.0-1.0","1532110742742","6-208","4271","","","","false","614","839","438","597","[563.18,365.67]","[610.42,593.5]","false","null"
"","learner","31","332780","0.0-12.0-2.0","1532110742742","6-208","5359","","","","false","540","879","487","821","[542.46,488.5]","[600.06,259.98]","true","null"
"","learner","32","337286","0.0-12.0-3.0","1532110742742","6-208","4505","","","","false","457","904","534","738","","[224.63,427.36],[452.36,525.06]","true","null"
"","learner","33","355189","0.0-12.0-4.0","1532110742742","6-208","17902","","","","false","478","628","362","456","[478.25,465.91]","[577.92,311.87]","false","null"
"","check_point_button","34","358094","0.0-13.0","1532110742742","6-208","2904","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","","",""
"","learner","35","366101","0.0-14.0-0.0","1532110742742","6-208","8006","","","","false","513","828","492","721","","[308.39,547.34],[504.58,725.3]","true","null"
"","learner","36","371092","0.0-14.0-1.0","1532110742742","6-208","4990","","","","false","325","737","493","768","","[632.77,344.52],[314.78,492.42]","true","null"
"","learner","37","376685","0.0-14.0-2.0","1532110742742","6-208","5590","","","","false","450","660","604","749","[447.38,752.45]","[219.7,542.11]","false","null"
"","learner","38","384767","0.0-14.0-3.0","1532110742742","6-208","8081","","","","false","262","682","177","400","","[258.13,405.16],[465.84,714.79]","true","null"
"","learner","39","390944","0.0-14.0-4.0","1532110742742","6-208","6176","","","","false","637","847","488","643","","[401.57,414.25],[629.54,644.4]","true","null"
