"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","Examples","Inside","Examples_times","Teachers_Box","Learners_Guess","Learners_Guess_time","canvas_size","won","key_press"
"true","fullscreen","0","1945","0.0-0.0","1532722742297","10-247","30-x","","","","","","","","","","","","","","",""
"","survey-text","1","11431","0.0-1.0","1532722742297","10-247","30-x","9483","{""Q0"":""10-247"",""Q1"":""30-x""}","","","","","","","","","","","","",""
"","my_image_button","2","30494","0.0-2.0-0.0","1532722742297","10-247","30-x","19062","","img/caja.png","0","","","","","","","","","","",""
"","my_image_button","3","45551","0.0-2.0-1.0","1532722742297","10-247","30-x","15055","","img/caja_con_ejemplos.png","0","","","","","","","","","","",""
"","my_image_button","4","63250","0.0-2.0-2.0","1532722742297","10-247","30-x","17698","","","0","","","","","","","","","","",""
"","waiting-room","5","63778","0.0-3.0","1532722742297","10-247","30-x","","","","","0","69559925-e687-4f1d-9bea-472ec5b6744a","","","","","","","","",""
"","teacher","6","225749","0.0-4.0-0.0","1532722742297","10-247","30-x","8706,12108,6100,3660,6276,14588,6764,6331","","","","","","[556,470],[626,533],[584,364],[604,639],[575,330],[466,481],[686,483],[518,484]","true,true,true,true,true,false,false,false","1532722803355,1532722831235,1532722848636,1532722862438,1532722877822,1532722905022,1532722924616,1532722942105","[530,652,311,655]","[446,685,382,562],[505,694,438,584],[499,704,331,604],[492,718,349,663],[447,663,313,657],[485,712,303,654],[483,662,313,660],[534,640,318,651]","1532722819041,1532722842449,1532722858691,1532722871460,1532722890347,1532722917766,1532722935686,1532722956526","[864,864]","true","null"
"","image-button-response","7","227751","0.0-4.0-2.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","8","283591","0.0-4.0-3.0","1532722742297","10-247","30-x","9606,5622,4179,2972","","","","","","[283,254],[275,189],[576,288],[536,496]","true,false,true,true","1532722968225,1532722984377,1532722996300,1532723006788","[255,619,232,521]","[161,428,135,381],[276,530,246,454],[274,590,243,474],[272,610,237,510]","1532722978664,1532722992017,1532723003729,1532723014369","[864,864]","true","null"
"","image-button-response","9","285594","0.0-4.0-5.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","10","315539","0.0-5.0","1532722742297","10-247","30-x","29944","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","",""
"","html-button-response","11","326062","0.0-6.0","1532722742297","10-247","30-x","10522","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","",""
"","waiting-room","12","326930","0.0-7.0","1532722742297","10-247","30-x","","","","","0","fc1f7c90-c4ca-4017-888d-734ef1c7a4d4","","","","","","","","",""
"","teacher","13","375003","0.0-8.0-0.0","1532722742297","10-247","30-x","4146,3356,2277,1876,3212","","","","","","[583,154],[656,226],[652,159],[588,223],[644,251]","true,true,true,true,false","1532723061943,1532723071672,1532723078928,1532723088272,1532723098600","[575,661,147,233]","[365,626,115,391],[391,676,117,421],[561,743,127,345],[559,691,139,283],[572,670,145,234]","1532723068228,1532723076540,1532723086308,1532723095300,1532723105783","[864,864]","true","null"
"","image-button-response","14","377005","0.0-8.0-2.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","15","402369","0.0-8.0-3.0","1532722742297","10-247","30-x","6792,4340","","","","","","[414,354],[613,594]","true,true","1532723114664,1532723126179","[381,623,317,606]","[405,627,342,503],[405,622,344,601]","1532723121751,1532723133143","[864,864]","true","null"
"","image-button-response","16","404370","0.0-8.0-5.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","17","428672","0.0-8.0-6.0","1532722742297","10-247","30-x","5597,5544","","","","","","[479,490],[519,516]","true,true","1532723140834,1532723154034","[433,528,443,529]","[476,678,480,704],[474,527,484,527]","1532723148399,1532723159447","[864,864]","true","null"
"","image-button-response","18","430674","0.0-8.0-8.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","19","492288","0.0-8.0-9.0","1532722742297","10-247","30-x","5380,1955,5599,7017,2937","","","","","","[303,418],[382,505],[252,734],[242,399],[346,565]","true,false,true,true,false","1532723166922,1532723173506,1532723184437,1532723205405,1532723216181","[234,322,393,745]","[296,497,410,621],[295,373,409,499],[230,368,404,748],[228,368,387,748],[218,328,379,746]","1532723171466,1532723178722,1532723198290,1532723213154,1532723223033","[864,864]","true","null"
"","image-button-response","20","494291","0.0-8.0-11.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","21","538371","0.0-8.0-12.0","1532722742297","10-247","30-x","4599,9743,17217","","","","","","[401,627],[507,702],[299,550]","true,true,true","1532723229757,1532723244208,1532723265344","[289,520,536,711]","[390,624,619,812],[389,523,620,726],[292,517,541,712]","1532723234380,1532723248005,1532723269148","[864,864]","true","null"
"","image-button-response","22","540372","0.0-8.0-14.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","23","543831","0.0-9.0","1532722742297","10-247","30-x","3459","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","0","","","","","","","","","","",""
"","waiting-room","24","552416","0.0-10.0","1532722742297","10-247","30-x","","","","","0","dffbe6e3-41bf-4c35-8422-14bac0194b14","","","","","","","","",""
"","teacher","25","598079","0.0-11.0-0.0","1532722742297","10-247","30-x","7759,3863,3812","","","","","","[412,335],[142,342],[347,407]","false,true,true","1532723291041,1532723307644,1532723323139","[126,363,322,415]","[423,831,346,838],[70,321,156,516],[131,358,333,418]","1532723303694,1532723319239,1532723328855","[864,864]","true","null"
"","image-button-response","26","600081","0.0-11.0-2.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","27","620030","0.0-11.0-3.0","1532722742297","10-247","30-x","5249,4476","","","","","","[705,734],[669,697]","true,true","1532723336197,1532723345947","[660,746,687,773]","[696,856,720,859],[662,716,687,749]","1532723341384,1532723350808","[864,864]","true","null"
"","image-button-response","28","622031","0.0-11.0-5.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","29","650466","0.0-11.0-6.0","1532722742297","10-247","30-x","3626,2285,2192","","","","","","[430,412],[726,580],[222,491]","false,true,true","1532723356524,1532723363747,1532723374150","[205,741,473,595]","[446,651,419,570],[439,742,418,590],[214,741,479,611]","1532723361371,1532723371866,1532723381243","[864,864]","true","null"
"","image-button-response","30","652468","0.0-11.0-8.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","31","678060","0.0-11.0-9.0","1532722742297","10-247","30-x","3216,5787,2666","","","","","","[476,192],[478,682],[622,682]","true,true,true","1532723386551,1532723396399,1532723403614","[463,632,178,692]","[467,607,182,340],[465,545,183,707],[463,657,187,695]","1532723390522,1532723400859,1532723408819","[864,864]","true","null"
"","image-button-response","32","680063","0.0-11.0-11.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","33","713437","0.0-11.0-12.0","1532722742297","10-247","30-x","4974,4165,2405,3275","","","","","","[8,859],[397,245],[340,207],[464,273]","false,true,true,true","1532723415903,1532723426952,1532723433146,1532723440025","[330,475,197,283]","[30,851,52,854],[388,665,234,490],[331,414,191,266],[316,494,189,298]","1532723422677,1532723430653,1532723436662,1532723444213","[864,864]","true","null"
"","image-button-response","34","715439","0.0-11.0-14.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","35","721392","0.0-12.0","1532722742297","10-247","30-x","5951","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 2 </font></p>","0","","","","","","","","","","",""
"","waiting-room","36","722827","0.0-13.0","1532722742297","10-247","30-x","","","","","0","6f1c5b69-c882-44a4-86c2-00166b947258","","","","","","","","",""
"","teacher","37","766426","0.0-14.0-0.0","1532722742297","10-247","30-x","2084,4575,5060,1906,1132","","","","","","[382,689],[338,602],[396,589],[425,605],[423,762]","true,true,false,true,true","1532723455778,1532723464602,1532723473418,1532723484658,1532723491546","[327,433,593,774]","[374,619,678,812],[322,408,577,705],[326,399,597,712],[319,446,595,702],[326,457,596,783]","1532723459909,1532723468269,1532723482655,1532723490327,1532723497199","[864,864]","true","null"
"","image-button-response","38","768429","0.0-14.0-2.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","39","805062","0.0-14.0-3.0","1532722742297","10-247","30-x","5141,3284,3787,1755","","","","","","[627,389],[505,516],[591,651],[404,657]","true,true,true,true","1532723504437,1532723512789,1532723521677,1532723531124","[389,630,384,668]","[620,773,380,653],[486,642,375,527],[500,651,379,667],[394,638,381,665]","1532723509408,1532723517799,1532723529279,1532723535808","[864,864]","true","null"
"","image-button-response","40","807064","0.0-14.0-5.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","41","834859","0.0-14.0-6.0","1532722742297","10-247","30-x","3738,7000,7296","","","","","","[543,434],[512,666],[577,221]","true,true,true","1532723541669,1532723551149,1532723562865","[497,583,212,676]","[531,703,420,643],[587,587,861,863],[489,610,199,696]","1532723544058,1532723555483,1532723565635","[864,864]","true","null"
"","image-button-response","42","836862","0.0-14.0-8.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","43","857428","0.0-14.0-9.0","1532722742297","10-247","30-x","4487,5970","","","","","","[646,707],[746,439]","true,true","1532723572216,1532723583033","[625,757,424,718]","[635,661,699,716],[638,755,431,716]","1532723576963,1532723588203","[864,864]","true","null"
"","image-button-response","44","859430","0.0-14.0-11.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","45","906365","0.0-14.0-12.0","1532722742297","10-247","30-x","6457,4707,2115,4516,7519","","","","","","[838,65],[97,114],[156,111],[101,482],[163,483]","false,true,true,true,true","1532723596753,1532723607081,1532723613992,1532723621498,1532723633388","[87,173,102,489]","[586,837,82,207],[83,125,95,139],[90,182,98,132],[459,460,865,865],[92,205,102,501]","1532723602287,1532723611790,1532723616893,1532723625742,1532723637118","[864,864]","true","null"
"","image-button-response","46","908367","0.0-14.0-14.0-0.0","1532722742297","10-247","30-x","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","47","916626","0.0-15.0","1532722742297","10-247","30-x","8258","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 3 </font></p>","1","","","","","","","","","","",""
