"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","2861","0.0-0.0","1532118469208","10-233","10-232","","","","","","","","","","","","","",""
"","survey-text","1","10563","0.0-1.0","1532118469208","10-233","10-232","7700","{""Q0"":""10-232"",""Q1"":""10-233""}","","","","","","","","","","","",""
"","waiting-room","2","18495","0.0-2.0","1532118469208","10-233","10-232","","","0","78103115-64e9-4155-a69c-4242cab5a521","","","","","","","","","",""
"","learner","3","198752","0.0-3.0-0.0","1532118469208","10-233","10-232","28165,53482,21876,44796","","","","[565,651,334,420]","[429,573,337,618],[569,647,336,547],[570,651,335,419],[566,652,338,419]","[569,339],[570,416]","[656,423],[563,424]","true,true,false,true","864,864","true","null","",""
"","html-button-response","4","201755","0.0-3.0-2.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","5","279932","0.0-3.0-3.0","1532118469208","10-233","10-232","38856,22586","","","","[213,436,326,584]","[158,862,4,564],[215,442,331,590]","[216,331],[434,583]","","true,true","864,864","true","null","",""
"","html-button-response","6","282933","0.0-3.0-5.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","7","286456","0.0-4.0","1532118469208","10-233","10-232","3520","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","287783","0.0-5.0","1532118469208","10-233","10-232","1327","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","289963","0.0-6.0","1532118469208","10-233","10-232","","","0","7e804c05-1e45-4104-a4d9-7db1884e8ee6","","","","","","","","","",""
"","learner","10","335191","0.0-7.0-0.0","1532118469208","10-233","10-232","22772,10836","","","","[678,764,508,647]","[620,629,478,487],[687,786,510,641]","","[676,507],[768,650]","true,true","864,864","true","null","",""
"","html-button-response","11","338191","0.0-7.0-2.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","12","410144","0.0-7.0-3.0","1532118469208","10-233","10-232","15239,34401","","","","[305,575,662,748]","[303,415,537,674],[298,585,660,746]","[309,667]","[578,752]","true,true","864,864","true","null","",""
"","html-button-response","13","413147","0.0-7.0-5.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","14","485904","0.0-7.0-6.0","1532118469208","10-233","10-232","6064,17687,31161","","","","[139,529,438,524]","[174,555,262,814],[142,351,437,519],[136,523,431,524]","[336,453],[143,442]","[533,527]","true,true,true","864,864","true","null","",""
"","html-button-response","15","488907","0.0-7.0-8.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","16","537059","0.0-7.0-9.0","1532118469208","10-233","10-232","18731,12376","","","","[387,700,661,747]","[284,375,536,674],[398,708,656,740]","","[385,661],[703,750]","true,true","864,864","true","null","",""
"","html-button-response","17","540061","0.0-7.0-11.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","18","594518","0.0-7.0-12.0","1532118469208","10-233","10-232","10034,9521,11269","","","","[309,539,592,678]","[300,409,108,578],[318,545,585,680],[312,541,591,680]","[313,595],[536,676]","[542,682]","false,false,true","864,864","true","null","",""
"","html-button-response","19","597520","0.0-7.0-14.0-0.0","1532118469208","10-233","10-232","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","20","607783","0.0-8.0","1532118469208","10-233","10-232","10262","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1"
