"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","2273","0.0-0.0","1532118299252","16-224","18-16","","","","","","","","","","","","","",""
"","survey-text","1","15680","0.0-1.0","1532118299252","16-224","18-16","13404","{""Q0"":""18-16"",""Q1"":""16-224""}","","","","","","","","","","","",""
"","waiting-room","2","74932","0.0-2.0","1532118299252","16-224","18-16","","","0","2bfc1486-e450-4fb9-a078-655e284d9685","","","","","","","","","",""
"","learner","3","107599","0.0-3.0-0.0","1532118299252","16-224","18-16","12607,10700","","","","[434,643,456,732]","[423,644,453,572],[472,677,480,784]","[491,497],[637,726]","","true,true","864,864","true","null","",""
"","html-button-response","4","110603","0.0-3.0-2.0-0.0","1532118299252","16-224","18-16","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","5","163058","0.0-3.0-3.0","1532118299252","16-224","18-16","4124,12685,6868,6700,8115","","","","[169,346,116,375]","[107,373,76,193],[150,433,106,388],[145,463,123,385],[129,384,113,382],[163,363,101,377]","[190,139],[334,363],[338,130],[179,369]","[156,249]","true,true,true,true,true","864,864","true","null","",""
"","html-button-response","6","166060","0.0-3.0-5.0-0.0","1532118299252","16-224","18-16","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","7","169584","0.0-4.0","1532118299252","16-224","18-16","3523","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","171336","0.0-5.0","1532118299252","16-224","18-16","1752","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","171944","0.0-6.0","1532118299252","16-224","18-16","","","0","baef194d-edcf-4ce7-bdb6-f29dba72c901","","","","","","","","","",""
"","learner","10","204253","0.0-7.0-0.0","1532118299252","16-224","18-16","3101,3445,7928,5058","","","","[315,406,633,719]","[268,513,603,730],[270,547,603,716],[319,551,646,707],[306,418,642,707]","[361,675]","[411,721],[311,633],[409,632]","true,true,true,true","864,864","true","null","",""
"","html-button-response","11","207256","0.0-7.0-2.0-0.0","1532118299252","16-224","18-16","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","12","223005","0.0-7.0-3.0","1532118299252","16-224","18-16","3783,5629","","","","[311,715,217,303]","[301,419,274,393],[296,738,200,311]","[317,300],[708,225]","","true,true","864,864","true","null","",""
"","html-button-response","13","226007","0.0-7.0-5.0-0.0","1532118299252","16-224","18-16","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
