"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","11164","0.0-0.0","1532113565600","42-8","56-07","","","","","","","","","","","","","",""
"","survey-text","1","39291","0.0-1.0","1532113565600","42-8","56-07","28122","{""Q0"":""56-07"",""Q1"":""42-8""}","","","","","","","","","","","",""
"","waiting-room","2","149876","0.0-2.0","1532113565600","42-8","56-07","","","0","8408093c-4fc6-45c8-a9cc-6cf60f4f4136","","","","","","","","","",""
"","learner","3","190056","0.0-3.0-0.0","1532113565600","42-8","56-07","18012,9677","","","","[594,680,677,763]","[331,616,407,693],[590,687,673,769]","[601,683],[677,759]","","true,true","864,864","true","null","",""
"","html-button-response","4","193059","0.0-3.0-2.0-0.0","1532113565600","42-8","56-07","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","5","219906","0.0-3.0-3.0","1532113565600","42-8","56-07","11516,6304","","","","[381,566,576,662]","[77,397,252,596],[378,573,576,669]","[387,585],[563,657]","","true,true","864,864","true","null","",""
"","html-button-response","6","222908","0.0-3.0-5.0-0.0","1532113565600","42-8","56-07","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","7","229790","0.0-4.0","1532113565600","42-8","56-07","6878","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","233109","0.0-5.0","1532113565600","42-8","56-07","3319","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","233435","0.0-6.0","1532113565600","42-8","56-07","","","0","efe9920b-4081-4867-a3bc-5ad6e8d58cac","","","","","","","","","",""
"","learner","10","253137","0.0-7.0-0.0","1532113565600","42-8","56-07","7014,5669","","","","[319,405,128,277]","[38,337,20,146],[319,411,131,285]","[325,137],[401,275]","","true,true","864,864","true","null","",""
"","html-button-response","11","256140","0.0-7.0-2.0-0.0","1532113565600","42-8","56-07","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","12","271864","0.0-7.0-3.0","1532113565600","42-8","56-07","5236,5254","","","","[586,672,613,769]","[233,600,321,634],[578,680,610,775]","[592,619],[669,766]","","true,true","864,864","true","null","",""
"","html-button-response","13","274866","0.0-7.0-5.0-0.0","1532113565600","42-8","56-07","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
