"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","24827","0.0-0.0","1532110401683","9-201","9-01","","","","","","","","","","","","","",""
"","survey-text","1","54898","0.0-1.0","1532110401683","9-201","9-01","30068","{""Q0"":""9-01"",""Q1"":""9-201""}","","","","","","","","","","","",""
"","waiting-room","2","156964","0.0-2.0","1532110401683","9-201","9-01","","","0","7475a23e-c2da-4b10-9c92-dd9f39952b65","","","","","","","","","",""
"","learner","3","505062","0.0-3.0-0.0","1532110401683","9-201","9-01","30381,20733,22884,22057,28517,42244,36848,38442","","","","[492,714,503,760]","[389,561,455,580],[444,616,321,442],[246,448,452,639],[333,485,487,623],[432,614,604,729],[580,721,516,649],[436,631,521,770],[498,694,509,786]","[596,618],[612,531],[601,748],[508,512]","[792,357],[223,243],[700,479],[347,429]","true,true,true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","4","508066","0.0-3.0-2.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","5","850032","0.0-3.0-3.0","1532110401683","9-201","9-01","13155,16763,18101,31591,25180,12784,108800,29184","","","","[241,393,383,730]","[378,549,434,638],[298,549,441,640],[368,565,456,707],[320,469,530,690],[296,476,569,701],[170,384,504,657],[217,389,397,613],[234,387,391,731]","[307,577],[246,526],[318,406],[306,723]","[228,367],[409,378],[410,738],[236,742]","true,true,true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","6","853034","0.0-3.0-5.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","7","968936","0.0-4.0","1532110401683","9-201","9-01","115899","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","997808","0.0-5.0","1532110401683","9-201","9-01","28870","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","999050","0.0-6.0","1532110401683","9-201","9-01","","","0","20ec0716-f2e5-4d0e-8517-9726bd6e8f97","","","","","","","","","",""
"","learner","10","1074171","0.0-7.0-0.0","1532110401683","9-201","9-01","18438,11925,18550","","","","[430,597,588,773]","[353,496,502,653],[411,638,465,670],[427,621,575,763]","[455,608],[583,606],[576,756]","","true,true,true","864,864","true","null","",""
"","html-button-response","11","1077174","0.0-7.0-2.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","12","1099759","0.0-7.0-3.0","1532110401683","9-201","9-01","5160,7017","","","","[540,707,241,401]","[340,549,487,649],[499,674,283,468]","[618,317]","[627,230]","true,true","864,864","true","null","",""
"","html-button-response","13","1102762","0.0-7.0-5.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","14","1209447","0.0-7.0-6.0","1532110401683","9-201","9-01","5135,8713,16408,26631,26836","","","","[289,652,557,667]","[548,694,512,674],[263,694,378,677],[296,697,494,677],[281,663,554,712],[299,659,553,682]","[647,560],[315,570],[463,647],[484,658]","[654,539]","true,true,true,true,true","864,864","true","null","",""
"","html-button-response","15","1212452","0.0-7.0-8.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","16","1305223","0.0-7.0-9.0","1532110401683","9-201","9-01","9639,16391,14968,34677","","","","[524,777,494,604]","[616,721,513,622],[513,655,529,621],[495,817,521,657],[515,809,523,607]","[649,540],[531,550],[767,545],[545,589]","","true,true,true,true","864,864","true","null","",""
"","html-button-response","17","1308225","0.0-7.0-11.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","18","1410166","0.0-7.0-12.0","1532110401683","9-201","9-01","8512,8727,9186,18063,12994,11498","","","","[645,731,571,666]","[475,685,568,656],[605,809,577,690],[599,808,577,680],[570,776,555,703],[650,795,568,690],[645,734,565,675]","[661,588],[724,658],[658,653],[725,580]","[637,576],[737,584]","true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","19","1413169","0.0-7.0-14.0-0.0","1532110401683","9-201","9-01","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","20","1440781","0.0-8.0","1532110401683","9-201","9-01","27611","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1"
