"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","16005","0.0-0.0","1532110619330","28-200","20-02","","","","","","","","","","","","","",""
"","survey-text","1","67510","0.0-1.0","1532110619330","28-200","20-02","51503","{""Q0"":""20-02"",""Q1"":""28-200""}","","","","","","","","","","","",""
"","waiting-room","2","154927","0.0-2.0","1532110619330","28-200","20-02","","","0","75546603-dc1c-454a-a406-2f79be0d147c","","","","","","","","","",""
"","learner","3","209579","0.0-3.0-0.0","1532110619330","28-200","20-02","7862,8952,6926","","","","[152,570,250,458]","[219,493,291,446],[254,562,273,417],[147,551,243,473]","[277,332],[532,287],[166,269]","","true,true,true","864,864","true","null","",""
"","html-button-response","4","212581","0.0-3.0-2.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","5","272953","0.0-3.0-3.0","1532110619330","28-200","20-02","5048,5565,6948,4552,5879","","","","[256,751,320,607]","[287,573,313,492],[275,564,445,618],[341,681,339,546],[271,635,350,552],[266,762,336,637]","[388,523],[614,404],[294,381],[739,589]","[761,302]","true,true,true,true,true","864,864","true","null","",""
"","html-button-response","6","275955","0.0-3.0-5.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","7","315648","0.0-4.0","1532110619330","28-200","20-02","39692","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","327776","0.0-5.0","1532110619330","28-200","20-02","12127","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","332974","0.0-6.0","1532110619330","28-200","20-02","","","0","0c76f82b-3208-443c-a0c1-be3ba5d625c3","","","","","","","","","",""
"","learner","10","433166","0.0-7.0-0.0","1532110619330","28-200","20-02","4663,3900,17993,10755,9668,9741","","","","[310,764,672,758]","[330,633,542,720],[319,782,522,721],[333,777,517,727],[331,761,624,786],[319,780,694,841],[321,776,674,733]","[342,697],[751,700]","[304,624],[580,498],[483,652],[512,773]","true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","11","436169","0.0-7.0-2.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","12","481347","0.0-7.0-3.0","1532110619330","28-200","20-02","4932,4913,4368,11315","","","","[568,768,485,590]","[259,528,441,582],[547,775,171,395],[498,732,525,676],[560,769,500,587]","[582,574],[757,504]","[585,471],[776,522]","true,true,true,true","864,864","true","null","",""
"","html-button-response","13","484349","0.0-7.0-5.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","14","520220","0.0-7.0-6.0","1532110619330","28-200","20-02","2274,3914,6217,4943,5057","","","","[194,541,465,593]","[163,354,432,584],[144,585,389,626],[199,558,474,543],[195,559,468,644],[191,552,466,594]","[212,480],[532,482],[341,586]","[435,451],[382,608]","true,true,true,true,true","864,864","true","null","",""
"","html-button-response","15","523220","0.0-7.0-8.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","16","537427","0.0-7.0-9.0","1532110619330","28-200","20-02","3323,4052","","","","[590,697,677,763]","[570,758,622,769],[590,684,653,730]","[647,714]","[703,733]","true,true","864,864","true","null","",""
"","html-button-response","17","540429","0.0-7.0-11.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","18","580427","0.0-7.0-12.0","1532110619330","28-200","20-02","2770,3642,4806,6290,7788","","","","[323,675,99,716]","[640,707,445,522],[387,794,429,577],[338,737,158,520],[327,687,115,672],[323,691,109,714]","[668,469],[490,698]","[315,467],[499,91],[484,728]","true,true,true,true,true","864,864","true","null","",""
"","html-button-response","19","583430","0.0-7.0-14.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","20","587835","0.0-8.0","1532110619330","28-200","20-02","4404","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","0"
"","waiting-room","21","588612","0.0-9.0","1532110619330","28-200","20-02","","","0","fee30a63-a56c-400e-b213-1e3e15d20077","","","","","","","","","",""
"","learner","22","609468","0.0-10.0-0.0","1532110619330","28-200","20-02","2200,2295,3152,3069","","","","[329,415,557,685]","[288,418,513,634],[300,464,499,765],[290,414,530,713],[327,411,551,699]","[346,572],[403,678]","[422,608],[316,631]","true,true,true,true","864,864","true","null","",""
"","html-button-response","23","612468","0.0-10.0-2.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","24","632679","0.0-10.0-3.0","1532110619330","28-200","20-02","3848,3349,6225","","","","[417,611,359,733]","[565,640,288,420],[364,620,279,736],[425,635,370,729]","[596,379],[435,716]","[442,347]","true,true,true","864,864","true","null","",""
"","html-button-response","25","635681","0.0-10.0-5.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","26","683302","0.0-10.0-6.0","1532110619330","28-200","20-02","2795,5807,6441,4791,5455,6480","","","","[642,728,451,771]","[598,735,388,570],[575,796,452,763],[582,721,463,761],[623,706,424,541],[650,691,456,780],[650,735,456,774]","[656,468],[681,767],[723,618]","[697,781],[747,634],[633,565]","true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","27","686304","0.0-10.0-8.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","28","695145","0.0-10.0-9.0","1532110619330","28-200","20-02","1683,2417","","","","[438,524,280,366]","[459,594,293,459],[455,513,284,355]","[475,323]","[482,376]","true,true","864,864","true","null","",""
"","html-button-response","29","698148","0.0-10.0-11.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","30","732421","0.0-10.0-12.0","1532110619330","28-200","20-02","3100,2712,8420,9546","","","","[328,414,251,446]","[343,534,286,437],[265,464,287,479],[269,426,252,445],[329,454,253,440]","[334,435],[378,260]","[412,245],[320,345]","true,true,true,true","864,864","true","null","",""
"","html-button-response","31","735422","0.0-10.0-14.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","32","736857","0.0-11.0","1532110619330","28-200","20-02","1434","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","0"
"","waiting-room","33","739848","0.0-12.0","1532110619330","28-200","20-02","","","0","644c2a6a-803c-4975-bd90-d6e05bdde161","","","","","","","","","",""
"","learner","34","763704","0.0-13.0-0.0","1532110619330","28-200","20-02","3495,3498,3457,3597","","","","[672,758,223,320]","[567,721,219,298],[561,804,215,379],[605,758,212,364],[669,759,213,333]","[683,233],[747,310]","[768,271],[661,278]","true,true,true,true","864,864","true","null","",""
"","html-button-response","35","766706","0.0-13.0-2.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","36","771290","0.0-13.0-3.0","1532110619330","28-200","20-02","1836","","","","[347,433,668,754]","[328,434,669,741]","[360,686]","","true","864,864","true","null","",""
"","html-button-response","37","774293","0.0-13.0-5.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","38","792437","0.0-13.0-6.0","1532110619330","28-200","20-02","2592,3313,3744","","","","[379,544,492,733]","[424,509,486,534],[420,528,488,732],[364,487,497,735]","[451,507],[458,719],[385,609]","","true,true,true","864,864","true","null","",""
"","html-button-response","39","795438","0.0-13.0-8.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","40","809131","0.0-13.0-9.0","1532110619330","28-200","20-02","2553,6648","","","","[199,486,146,232]","[444,547,154,238],[192,502,160,258]","[482,180],[210,188]","","true,true","864,864","true","null","",""
"","html-button-response","41","812134","0.0-13.0-11.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","42","839501","0.0-13.0-12.0","1532110619330","28-200","20-02","4297,3136,4417,4184","","","","[517,754,683,769]","[547,634,544,700],[618,666,684,776],[615,763,683,782],[511,770,689,780]","[623,691],[652,763],[749,728],[526,712]","","true,true,true,true","864,864","true","null","",""
"","html-button-response","43","842502","0.0-13.0-14.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","44","845637","0.0-14.0","1532110619330","28-200","20-02","3134","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","0"
"","waiting-room","45","846176","0.0-15.0","1532110619330","28-200","20-02","","","0","e74bb50d-71ff-4304-bee6-12c6ca45484b","","","","","","","","","",""
"","learner","46","865439","0.0-16.0-0.0","1532110619330","28-200","20-02","4000,3984,4789","","","","[262,348,353,510]","[320,565,355,465],[240,371,356,512],[237,348,362,506]","[336,369],[275,499]","[360,458]","true,true,true","864,864","true","null","",""
"","html-button-response","47","868439","0.0-16.0-2.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","48","909422","0.0-16.0-3.0","1532110619330","28-200","20-02","3822,4631,4391,4051,3647","","","","[418,614,475,756]","[406,528,452,555],[431,532,480,572],[431,564,480,560],[432,570,484,769],[427,622,480,769]","[439,491],[520,545],[541,505],[525,751],[607,681]","","true,true,true,true,true","864,864","true","null","",""
"","html-button-response","49","912423","0.0-16.0-5.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","50","937233","0.0-16.0-6.0","1532110619330","28-200","20-02","2735,5855,2821","","","","[634,720,594,768]","[618,705,549,683],[649,713,589,699],[648,705,597,784]","[651,606],[694,672],[684,760]","","true,true,true","864,864","true","null","",""
"","html-button-response","51","940236","0.0-16.0-8.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","52","952979","0.0-16.0-9.0","1532110619330","28-200","20-02","4291,3854","","","","[619,705,362,618]","[549,664,366,459],[632,744,365,627]","[651,375],[664,612]","","true,true","864,864","true","null","",""
"","html-button-response","53","955983","0.0-16.0-11.0-0.0","1532110619330","28-200","20-02","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
