"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","8103","0.0-0.0","1532727948404","28-63","13-304","","","","","","","","","","","","","","","",""
"","survey-text","1","136633","0.0-1.0","1532727948404","28-63","13-304","128526","{""Q0"":""13-304"",""Q1"":""28-63""}","","","","","","","","","","","","","",""
"","waiting-room","2","243230","0.0-2.0","1532727948404","28-63","13-304","","","0","b152c1d5-d878-44fe-a3d4-4051c9daca45","","","","","","","","","","","",""
"","learner","3","389094","0.0-3.0-0.0","1532727948404","28-63","13-304","21242,44440,36607","","","","[120,459,253,339]","[123,469,256,459],[122,452,123,257],[118,454,253,338]","1532728088895,1532728153819,1532728200534","[122,255],[460,251],[122,340]","1532728067316,1532728109045,1532728163593","true,false,false","false,true,true","[864,864]","true","null","",""
"","image-button-response","4","391097","0.0-3.0-2.0-0.0","1532727948404","28-63","13-304","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","5","496042","0.0-3.0-3.0","1532727948404","28-63","13-304","35371,25974,23556","","","","[185,321,455,558]","[181,339,284,464],[187,419,457,559],[184,326,456,559]","1532728247077,1532728280560,1532728307481","[186,457],[186,560],[320,560]","1532728211371,1532728254255,1532728283591","true,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","6","498045","0.0-3.0-5.0-0.0","1532727948404","28-63","13-304","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","7","532369","0.0-4.0","1532727948404","28-63","13-304","34322","","","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","546601","0.0-5.0","1532727948404","28-63","13-304","14231","","","","","","","","","","","","","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","547145","0.0-6.0","1532727948404","28-63","13-304","","","0","8c30dcbe-4c17-4c55-8a84-acb5ff002b51","","","","","","","","","","","",""
