"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","Examples","Inside","Examples_times","Teachers_Box","Learners_Guess","Learners_Guess_time","canvas_size","won","key_press"
"true","fullscreen","0","26068","0.0-0.0","1532727944390","28-63","13-304","","","","","","","","","","","","","","",""
"","survey-text","1","142767","0.0-1.0","1532727944390","28-63","13-304","116696","{""Q0"":""28-63"",""Q1"":""13-304""}","","","","","","","","","","","","",""
"","my_image_button","2","190228","0.0-2.0-0.0","1532727944390","28-63","13-304","47458","","img/caja.png","0","","","","","","","","","","",""
"","my_image_button","3","231732","0.0-2.0-1.0","1532727944390","28-63","13-304","41504","","img/caja_con_ejemplos.png","0","","","","","","","","","","",""
"","my_image_button","4","252590","0.0-2.0-2.0","1532727944390","28-63","13-304","20855","","","0","","","","","","","","","","",""
"","waiting-room","5","253214","0.0-3.0","1532727944390","28-63","13-304","","","","","0","b152c1d5-d878-44fe-a3d4-4051c9daca45","","","","","","","","",""
"","teacher","6","398908","0.0-4.0-0.0","1532727944390","28-63","13-304","12476,20151,9777","","","","","","[122,255],[460,251],[122,340]","true,false,false","1532728067316,1532728109045,1532728163593","[120,459,253,339]","[123,469,256,459],[122,452,123,257],[118,454,253,338]","1532728088895,1532728153819,1532728200534","[864,864]","true","null"
"","image-button-response","7","400911","0.0-4.0-2.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","8","505859","0.0-4.0-3.0","1532727944390","28-63","13-304","8837,7179,3035","","","","","","[186,457],[186,560],[320,560]","true,false,false","1532728211371,1532728254255,1532728283591","[185,321,455,558]","[181,339,284,464],[187,419,457,559],[184,326,456,559]","1532728247077,1532728280560,1532728307481","[864,864]","true","null"
"","image-button-response","9","507862","0.0-4.0-5.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","10","542933","0.0-5.0","1532727944390","28-63","13-304","35070","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","",""
"","html-button-response","11","554797","0.0-6.0","1532727944390","28-63","13-304","11863","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","",""
"","waiting-room","12","557128","0.0-7.0","1532727944390","28-63","13-304","","","","","0","8c30dcbe-4c17-4c55-8a84-acb5ff002b51","","","","","","","","",""
"","teacher","13","599086","0.0-8.0-0.0","1532727944390","28-63","13-304","3507,7418","","","","","","[192,90],[337,89]","true,false","1532728362259,1532728381141","[190,336,88,307]","[188,346,85,396],[189,335,86,318]","1532728373723,1532728400708","[864,864]","true","null"
"","image-button-response","14","601090","0.0-8.0-2.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","15","635839","0.0-8.0-3.0","1532727944390","28-63","13-304","5494,1813","","","","","","[251,431],[711,515]","true,false","1532728408206,1532728420254","[249,711,430,516]","[249,497,273,434],[249,710,430,517]","1532728418445,1532728437462","[864,864]","true","null"
"","image-button-response","16","637841","0.0-8.0-5.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","17","663913","0.0-8.0-6.0","1532727944390","28-63","13-304","3985,3459","","","","","","[619,148],[705,233]","true,false","1532728443449,1532728456753","[618,704,147,233]","[526,625,145,633],[613,705,144,230]","1532728453294,1532728465534","[864,864]","true","null"
"","image-button-response","18","665916","0.0-8.0-8.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","19","743045","0.0-8.0-9.0","1532727944390","28-63","13-304","2622,1228,33569","","","","","","[476,184],[749,484],[752,183]","true,false,false","1532728470161,1532728478618,1532728524630","[475,749,182,484]","[312,482,179,331],[475,750,181,485],[473,748,179,484]","1532728477392,1532728491064,1532728544668","[864,864]","true","null"
"","image-button-response","20","745046","0.0-8.0-11.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","21","773980","0.0-8.0-12.0","1532727944390","28-63","13-304","3826,925","","","","","","[149,246],[306,668]","true,false","1532728550495,1532728563950","[146,306,245,668]","[147,266,243,493],[146,304,241,667]","1532728563027,1532728575603","[864,864]","true","null"
"","image-button-response","22","775981","0.0-8.0-14.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","23","779105","0.0-9.0","1532727944390","28-63","13-304","3123","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","0","","","","","","","","","","",""
"","waiting-room","24","779645","0.0-10.0","1532727944390","28-63","13-304","","","","","0","86773614-2607-4a9f-a248-5a13c9ea5c64","","","","","","","","",""
"","teacher","25","804097","0.0-11.0-0.0","1532727944390","28-63","13-304","3667,1453","","","","","","[281,96],[368,435]","true,false","1532728584936,1532728595400","[280,368,94,435]","[277,726,92,299],[277,367,93,436]","1532728593947,1532728605719","[864,864]","true","null"
"","image-button-response","26","806098","0.0-11.0-2.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","27","1091596","0.0-11.0-3.0","1532727944390","28-63","13-304","2942,2772,14858,7004,6062,13151,10807,5080","","","","","","[351,328],[434,715],[351,324],[435,326],[350,714],[435,709],[394,716],[393,326]","true,false,false,false,false,false,false,false","1532728610664,1532728625177,1532728651260,1532728676052,1532728694277,1532728725776,1532728791028,1532728811459","[349,435,326,714]","[348,464,323,625],[348,434,323,717],[348,433,322,714],[347,433,323,715],[344,434,320,712],[345,439,333,704],[347,439,333,707],[352,436,331,708]","1532728622406,1532728636406,1532728669049,1532728688218,1532728712625,1532728780221,1532728806382,1532728893218","[864,864]","false","null"
"","image-button-response","28","1093598","0.0-11.0-4.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_down.png","null","","","","","","","","","","",""
"","teacher","29","1123580","0.0-11.0-6.0","1532727944390","28-63","13-304","6868,3320","","","","","","[542,443],[701,528]","true,false","1532728902089,1532728916521","[541,700,441,527]","[149,549,288,449],[541,698,441,529]","1532728913201,1532728925202","[864,864]","true","null"
"","image-button-response","30","1125580","0.0-11.0-8.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","31","1144984","0.0-11.0-9.0","1532727944390","28-63","13-304","2343,898","","","","","","[591,320],[705,403]","true,true","1532728929545,1532728939154","[590,706,318,404]","[510,597,314,559],[589,710,315,409]","1532728938259,1532728946603","[864,864]","true","null"
"","image-button-response","32","1146986","0.0-11.0-11.0-0.0","1532727944390","28-63","13-304","null","","img/thumb_up.png","null","","","","","","","","","","",""
