"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","2294","0.0-0.0","1532728943853","13-437","10-436","","","","","","","","","","","","","","","",""
"","survey-text","1","16741","0.0-1.0","1532728943853","13-437","10-436","14444","{""Q0"":""10-436"",""Q1"":""13-437""}","","","","","","","","","","","","","",""
"","waiting-room","2","17284","0.0-2.0","1532728943853","13-437","10-436","","","0","3b9868d5-9624-4685-a1cd-cb1927a7afa2","","","","","","","","","","","",""
"","learner","3","195754","0.0-3.0-0.0","1532728943853","13-437","10-436","8042,17253,21218,14348,37981,23459","","","","[601,687,412,596]","[554,643,374,498],[639,685,420,499],[635,687,415,503],[636,688,417,513],[604,686,418,503],[604,688,415,599]","1532728967181,1532728996216,1532729022256,1532729039025,1532729087596,1532729122534","[641,496],[683,418],[690,411],[694,507],[606,418],[644,593]","1532728959052,1532728978877,1532729000950,1532729024591,1532729049531,1532729098987","true,true,false,false,true,true","true,false,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","4","197758","0.0-3.0-2.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","5","371410","0.0-3.0-3.0","1532728943853","13-437","10-436","5785,12922,19068,6625,18018,13275,22314","","","","[334,420,199,285]","[438,535,198,336],[427,537,198,322],[333,552,199,316],[339,376,208,250],[337,550,202,298],[337,550,202,281],[337,422,202,284]","1532729140741,1532729168182,1532729198209,1532729209657,1532729239921,1532729266669,1532729298189","[429,192],[541,193],[340,207],[373,246],[330,291],[426,290],[331,197]","1532729134870,1532729155174,1532729179055,1532729202947,1532729221818,1532729253306,1532729275789","false,false,true,true,false,false,false","true,true,true,false,true,true,true","[864,864]","true","null","",""
"","image-button-response","6","373413","0.0-3.0-5.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","7","379462","0.0-4.0","1532728943853","13-437","10-436","6047","","","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","380638","0.0-5.0","1532728943853","13-437","10-436","1174","","","","","","","","","","","","","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","385254","0.0-6.0","1532728943853","13-437","10-436","","","0","5f9c75ca-c0e6-4f02-a213-7c7c278cd0ce","","","","","","","","","","","",""
"","learner","10","488510","0.0-7.0-0.0","1532728943853","13-437","10-436","10289,9848,18228,13058,16952","","","","[561,704,226,448]","[1,2,865,865],[131,136,47,73],[563,703,228,295],[558,710,223,304],[558,706,228,449]","1532729329896,1532729359712,1532729381315,1532729395347,1532729415290","[566,231],[559,224],[701,232],[711,218],[697,444]","1532729319518,1532729349776,1532729363000,1532729382201,1532729398252","true,false,true,false,true","false,false,true,false,true","[864,864]","true","null","",""
"","image-button-response","11","490513","0.0-7.0-2.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","12","520298","0.0-7.0-3.0","1532728943853","13-437","10-436","5738,8184,8052","","","","[366,464,475,581]","[376,607,355,473],[377,613,354,467],[371,464,478,580]","1532729429330,1532729438250,1532729447078","[365,473],[466,471],[469,584]","1532729423507,1532729429979,1532729438939","false,false,false","true,true,true","[864,864]","true","null","",""
"","image-button-response","13","522299","0.0-7.0-5.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","14","597117","0.0-7.0-6.0","1532728943853","13-437","10-436","5099,34993,9230,8977,7098","","","","[422,555,249,774]","[373,498,348,456],[340,497,350,679],[482,556,247,679],[421,562,248,686],[418,558,248,785]","1532729457094,1532729493494,1532729503753,1532729514257,1532729523897","[491,353],[492,671],[561,241],[414,243],[562,783]","1532729451907,1532729458414,1532729494438,1532729505190,1532729516702","true,true,false,false,false","true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","15","599120","0.0-7.0-8.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","16","623455","0.0-7.0-9.0","1532728943853","13-437","10-436","4674,9923","","","","[387,533,599,775]","[389,476,484,608],[390,534,600,778]","1532729535377,1532729550234","[393,604],[528,770]","1532729530616,1532729540224","true,true","true,true","[864,864]","true","null","",""
"","image-button-response","17","625457","0.0-7.0-11.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","18","660601","0.0-7.0-12.0","1532728943853","13-437","10-436","5133,7915,10387","","","","[263,690,125,693]","[587,688,580,693],[520,692,126,701],[268,691,130,694]","1532729564948,1532729574661,1532729587381","[685,688],[695,122],[273,135]","1532729559729,1532729566657,1532729576905","true,false,true","true,true,true","[864,864]","true","null","",""
"","image-button-response","19","662604","0.0-7.0-14.0-0.0","1532728943853","13-437","10-436","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","20","667044","0.0-8.0","1532728943853","13-437","10-436","4440","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","1"
