"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","5084","0.0-0.0","1532727496506","10-305","13-434","","","","","","","","","","","","","","","",""
"","survey-text","1","28498","0.0-1.0","1532727496506","10-305","13-434","23412","{""Q0"":""13-434"",""Q1"":""10-305""}","","","","","","","","","","","","","",""
"","waiting-room","2","33483","0.0-2.0","1532727496506","10-305","13-434","","","0","be8c3799-3214-4ebd-b2ec-f95cd2c80f1b","","","","","","","","","","","",""
"","learner","3","80432","0.0-3.0-0.0","1532727496506","10-305","13-434","9065,10156,7732","","","","[618,752,203,289]","[382,656,289,408],[484,711,235,352],[659,791,190,266]","1532727519074,1532727535779,1532727548116","[618,203],[754,291],[619,289]","1532727509871,1532727525489,1532727540250","false,false,false","true,true,true","[864,864]","true","null","",""
"","image-button-response","4","82434","0.0-3.0-2.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","5","243474","0.0-3.0-3.0","1532727496506","10-305","13-434","12564,10617,11171,10587,26605,12046,8463,19517","","","","[343,452,308,592]","[330,565,298,385],[318,591,287,565],[272,433,304,576],[281,434,295,580],[301,441,329,575],[274,439,327,585],[336,440,332,571],[342,446,316,587]","1532727573685,1532727588756,1532727604110,1532727620279,1532727655353,1532727671074,1532727685490,1532727711139","[344,309],[454,593],[453,309],[344,594],[343,307],[452,452],[344,452],[395,309]","1532727560986,1532727578002,1532727592805,1532727609557,1532727628613,1532727658889,1532727676889,1532727691488","true,false,false,false,false,false,true,true","true,true,true,true,false,false,false,false","[864,864]","false","null","",""
"","image-button-response","6","245476","0.0-3.0-4.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_down.png","null"
"","check_point_button","7","276497","0.0-4.0","1532727496506","10-305","13-434","31019","","","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","280905","0.0-5.0","1532727496506","10-305","13-434","4406","","","","","","","","","","","","","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","284071","0.0-6.0","1532727496506","10-305","13-434","","","0","ea2cafb1-b19f-4adc-8097-473653bb8faa","","","","","","","","","","","",""
"","learner","10","310763","0.0-7.0-0.0","1532727496506","10-305","13-434","6324,9228","","","","[562,661,342,701]","[429,549,348,539],[570,665,343,697]","1532727765520,1532727778447","[561,341],[663,703]","1532727759060,1532727769083","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","11","312766","0.0-7.0-2.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","12","357599","0.0-7.0-3.0","1532727496506","10-305","13-434","8806,6876,10884","","","","[91,606,335,618]","[92,288,335,552],[95,600,340,618],[90,602,332,619]","1532727794753,1532727806218,1532727825283","[92,336],[607,618],[607,336]","1532727785815,1532727799207,1532727814263","true,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","13","359601","0.0-7.0-5.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","14","388255","0.0-7.0-6.0","1532727496506","10-305","13-434","6741,7294","","","","[404,490,513,739]","[411,583,516,837],[408,486,515,740]","1532727841875,1532727855940","[404,513],[491,739]","1532727834999,1532727848514","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","15","390258","0.0-7.0-8.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","16","419009","0.0-7.0-9.0","1532727496506","10-305","13-434","13189,5603","","","","[338,424,666,752]","[334,493,434,672],[334,420,662,755]","1532727876646,1532727886693","[339,667],[426,754]","1532727863323,1532727880955","true,false","true,true","[864,864]","true","null","",""
"","image-button-response","17","421011","0.0-7.0-11.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","18","443121","0.0-7.0-12.0","1532727496506","10-305","13-434","4156,8892","","","","[128,656,623,727]","[126,389,312,629],[126,653,619,730]","1532727897222,1532727910807","[129,624],[658,728]","1532727892931,1532727901780","true,false","true,true","[864,864]","true","null","",""
"","image-button-response","19","445123","0.0-7.0-14.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","20","448543","0.0-8.0","1532727496506","10-305","13-434","3420","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","0"
"","waiting-room","21","450412","0.0-9.0","1532727496506","10-305","13-434","","","0","28678b2c-c4a6-4072-bbb1-dd1110236b8d","","","","","","","","","","","",""
"","learner","22","472029","0.0-10.0-0.0","1532727496506","10-305","13-434","5133,6820","","","","[283,477,669,755]","[285,462,517,676],[281,475,668,758]","1532727928345,1532727939713","[284,670],[478,757]","1532727923079,1532727932759","true,false","false,true","[864,864]","true","null","",""
"","image-button-response","23","474031","0.0-10.0-2.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","24","498253","0.0-10.0-3.0","1532727496506","10-305","13-434","5069,7038","","","","[112,692,324,458]","[117,692,325,727],[117,690,325,459]","1532727952458,1532727965938","[113,324],[692,459]","1532727947254,1532727958766","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","25","500256","0.0-10.0-5.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","26","529009","0.0-10.0-6.0","1532727496506","10-305","13-434","6118,7453","","","","[163,610,520,673]","[743,746,196,197],[162,609,519,676]","1532727977643,1532727996693","[164,521],[611,675]","1532727971392,1532727989104","true,false","false,true","[864,864]","true","null","",""
"","image-button-response","27","531012","0.0-10.0-8.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","28","571482","0.0-10.0-9.0","1532727496506","10-305","13-434","5006,5995,9623","","","","[487,596,575,661]","[318,494,432,581],[484,599,572,664],[484,594,574,666]","1532728010014,1532728020718,1532728039167","[488,576],[598,662],[597,577]","1532728004873,1532728014585,1532728029409","true,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","29","573484","0.0-10.0-11.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","30","593845","0.0-10.0-12.0","1532727496506","10-305","13-434","5671,6406","","","","[466,773,605,691]","[566,773,344,694],[463,772,604,693]","1532728051561,1532728061529","[774,692],[467,606]","1532728045756,1532728054988","false,true","true,true","[864,864]","true","null","",""
