"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"","image-button-response","31","595847","0.0-10.0-14.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","32","601314","0.0-11.0","1532727496506","10-305","13-434","5467","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 2 </font></p>","0"
"","waiting-room","33","603094","0.0-12.0","1532727496506","10-305","13-434","","","0","dfe2a351-eecf-4f0a-b994-6945858e96d6","","","","","","","","","","","",""
"","learner","34","629726","0.0-13.0-0.0","1532727496506","10-305","13-434","3851,6228","","","","[277,595,383,658]","[273,831,380,664],[271,592,380,659]","1532728083586,1532728097409","[278,384],[596,659]","1532728079580,1532728091045","true,false","true,true","[864,864]","true","null","",""
"","image-button-response","35","631728","0.0-13.0-2.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","36","653535","0.0-13.0-3.0","1532727496506","10-305","13-434","4879,8471","","","","[102,479,212,460]","[670,672,805,808],[106,475,214,464]","1532728110148,1532728121220","[103,212],[479,461]","1532728105135,1532728112615","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","37","655536","0.0-13.0-5.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","38","683271","0.0-13.0-6.0","1532727496506","10-305","13-434","5814,13045","","","","[87,680,370,488]","[91,862,371,841],[91,679,372,490]","1532728134508,1532728150956","[86,371],[681,490]","1532728128560,1532728137777","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","39","685274","0.0-13.0-8.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","40","705594","0.0-13.0-9.0","1532727496506","10-305","13-434","5525,7904","","","","[154,380,524,610]","[159,538,151,525],[156,380,527,615]","1532728162781,1532728173279","[155,524],[381,612]","1532728157121,1532728165243","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","41","707595","0.0-13.0-11.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","42","762427","0.0-13.0-12.0","1532727496506","10-305","13-434","5654,19636,10327","","","","[120,491,374,460]","[118,331,373,427],[116,493,370,463],[118,491,374,462]","1532728189720,1532728212128,1532728230113","[121,375],[493,462],[493,375]","1532728183931,1532728192346,1532728219651","true,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","43","764433","0.0-13.0-14.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","44","769444","0.0-14.0","1532727496506","10-305","13-434","5011","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 3 </font></p>","0"
"","waiting-room","45","778240","0.0-15.0","1532727496506","10-305","13-434","","","0","4a2583bf-2a95-42ba-8b52-db0cf2d4d143","","","","","","","","","","","",""
"","learner","46","806167","0.0-16.0-0.0","1532727496506","10-305","13-434","5191,12735","","","","[528,755,520,606]","[385,528,439,521],[531,755,519,607]","1532728254556,1532728273852","[529,520],[756,608]","1532728249230,1532728260983","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","47","808169","0.0-16.0-2.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","48","860403","0.0-16.0-3.0","1532727496506","10-305","13-434","4712,6946,25208","","","","[675,761,554,697]","[677,864,558,738],[677,762,558,700],[677,761,557,699]","1532728284981,1532728295655,1532728328087","[675,556],[762,699],[763,554]","1532728280136,1532728288575,1532728302746","false,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","49","862406","0.0-16.0-5.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","50","903229","0.0-16.0-6.0","1532727496506","10-305","13-434","4639,9707,7494","","","","[451,652,642,734]","[540,540,747,748],[452,654,642,738],[454,650,644,737]","1532728339992,1532728354515,1532728370914","[451,642],[654,736],[653,642]","1532728335219,1532728344675,1532728363285","false,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","51","905231","0.0-16.0-8.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","52","927910","0.0-16.0-9.0","1532727496506","10-305","13-434","4071,6382","","","","[650,751,593,699]","[380,653,340,596],[647,752,590,699]","1532728385043,1532728395594","[651,594],[752,700]","1532728380838,1532728389078","true,false","true,true","[864,864]","true","null","",""
"","image-button-response","53","929913","0.0-16.0-11.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","54","960731","0.0-16.0-12.0","1532727496506","10-305","13-434","3543,18713","","","","[221,714,592,745]","[225,676,126,594],[224,711,592,745]","1532728404018,1532728428413","[221,592],[714,745]","1532728400342,1532728409567","false,false","true,true","[864,864]","true","null","",""
"","image-button-response","55","962732","0.0-16.0-14.0-0.0","1532727496506","10-305","13-434","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","56","982431","0.0-17.0","1532727496506","10-305","13-434","19698","","","","","","","","","","","","","","<p align='center' style='font-size:30px;' > COMPLETARON TODOS LOS NIVELES  <br><br> ¡FELICITACIONES!<br><br> PRESIONA CUALQUIER TECLA PARA TERMINAR</p>","0"
