"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","Examples","Inside","Examples_times","Teachers_Box","Learners_Guess","Learners_Guess_time","canvas_size","won","key_press"
"true","fullscreen","0","7131","0.0-0.0","1532727484720","10-305","13-434","","","","","","","","","","","","","","",""
"","survey-text","1","23754","0.0-1.0","1532727484720","10-305","13-434","16620","{""Q0"":""10-305"",""Q1"":""13-434""}","","","","","","","","","","","","",""
"","my_image_button","2","37697","0.0-2.0-0.0","1532727484720","10-305","13-434","13942","","img/caja.png","0","","","","","","","","","","",""
"","my_image_button","3","38665","0.0-2.0-1.0","1532727484720","10-305","13-434","967","","img/caja_con_ejemplos.png","0","","","","","","","","","","",""
"","my_image_button","4","40025","0.0-2.0-2.0","1532727484720","10-305","13-434","1360","","","0","","","","","","","","","","",""
"","waiting-room","5","40551","0.0-3.0","1532727484720","10-305","13-434","","","","","0","be8c3799-3214-4ebd-b2ec-f95cd2c80f1b","","","","","","","","",""
"","teacher","6","87339","0.0-4.0-0.0","1532727484720","10-305","13-434","8347,6227,4282","","","","","","[618,203],[754,291],[619,289]","false,false,false","1532727509871,1532727525489,1532727540250","[618,752,203,289]","[382,656,289,408],[484,711,235,352],[659,791,190,266]","1532727519074,1532727535779,1532727548116","[864,864]","true","null"
"","image-button-response","7","89341","0.0-4.0-2.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","8","250382","0.0-4.0-3.0","1532727484720","10-305","13-434","10678,4130,3858,5258,8146,3343,5625,5807","","","","","","[344,309],[454,593],[453,309],[344,594],[343,307],[452,452],[344,452],[395,309]","true,false,false,false,false,false,true,true","1532727560986,1532727578002,1532727592805,1532727609557,1532727628613,1532727658889,1532727676889,1532727691488","[343,452,308,592]","[330,565,298,385],[318,591,287,565],[272,433,304,576],[281,434,295,580],[301,441,329,575],[274,439,327,585],[336,440,332,571],[342,446,316,587]","1532727573685,1532727588756,1532727604110,1532727620279,1532727655353,1532727671074,1532727685490,1532727711139","[864,864]","false","null"
"","image-button-response","9","252385","0.0-4.0-4.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_down.png","null","","","","","","","","","","",""
"","check_point_button","10","285423","0.0-5.0","1532727484720","10-305","13-434","33036","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","",""
"","html-button-response","11","290614","0.0-6.0","1532727484720","10-305","13-434","5191","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","",""
"","waiting-room","12","291139","0.0-7.0","1532727484720","10-305","13-434","","","","","0","ea2cafb1-b19f-4adc-8097-473653bb8faa","","","","","","","","",""
"","teacher","13","317673","0.0-8.0-0.0","1532727484720","10-305","13-434","6953,3377","","","","","","[561,341],[663,703]","false,false","1532727759060,1532727769083","[562,661,342,701]","[429,549,348,539],[570,665,343,697]","1532727765520,1532727778447","[864,864]","true","null"
"","image-button-response","14","319675","0.0-8.0-2.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","15","364506","0.0-8.0-3.0","1532727484720","10-305","13-434","5173,4259,7855","","","","","","[92,336],[607,618],[607,336]","true,false,false","1532727785815,1532727799207,1532727814263","[91,606,335,618]","[92,288,335,552],[95,600,340,618],[90,602,332,619]","1532727794753,1532727806218,1532727825283","[864,864]","true","null"
"","image-button-response","16","366509","0.0-8.0-5.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","17","395168","0.0-8.0-6.0","1532727484720","10-305","13-434","7523,6448","","","","","","[404,513],[491,739]","false,false","1532727834999,1532727848514","[404,490,513,739]","[411,583,516,837],[408,486,515,740]","1532727841875,1532727855940","[864,864]","true","null"
"","image-button-response","18","397169","0.0-8.0-8.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","19","425916","0.0-8.0-9.0","1532727484720","10-305","13-434","5187,4122","","","","","","[339,667],[426,754]","true,false","1532727863323,1532727880955","[338,424,666,752]","[334,493,434,672],[334,420,662,755]","1532727876646,1532727886693","[864,864]","true","null"
"","image-button-response","20","427918","0.0-8.0-11.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","21","450032","0.0-8.0-12.0","1532727484720","10-305","13-434","4045,4363","","","","","","[129,624],[658,728]","true,false","1532727892931,1532727901780","[128,656,623,727]","[126,389,312,629],[126,653,619,730]","1532727897222,1532727910807","[864,864]","true","null"
"","image-button-response","22","452035","0.0-8.0-14.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","23","456953","0.0-9.0","1532727484720","10-305","13-434","4916","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","0","","","","","","","","","","",""
"","waiting-room","24","457483","0.0-10.0","1532727484720","10-305","13-434","","","","","0","28678b2c-c4a6-4072-bbb1-dd1110236b8d","","","","","","","","",""
"","teacher","25","478937","0.0-11.0-0.0","1532727484720","10-305","13-434","4629,4225","","","","","","[284,670],[478,757]","true,false","1532727923079,1532727932759","[283,477,669,755]","[285,462,517,676],[281,475,668,758]","1532727928345,1532727939713","[864,864]","true","null"
"","image-button-response","26","480939","0.0-11.0-2.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","27","505161","0.0-11.0-3.0","1532727484720","10-305","13-434","5348,6119","","","","","","[113,324],[692,459]","false,false","1532727947254,1532727958766","[112,692,324,458]","[117,692,325,727],[117,690,325,459]","1532727952458,1532727965938","[864,864]","true","null"
"","image-button-response","28","507163","0.0-11.0-5.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","29","535916","0.0-11.0-6.0","1532727484720","10-305","13-434","3261,11271","","","","","","[164,521],[611,675]","true,false","1532727971392,1532727989104","[163,610,520,673]","[743,746,196,197],[162,609,519,676]","1532727977643,1532727996693","[864,864]","true","null"
"","image-button-response","30","537918","0.0-11.0-8.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","31","578392","0.0-11.0-9.0","1532727484720","10-305","13-434","5988,4384,8503","","","","","","[488,576],[598,662],[597,577]","true,false,false","1532728004873,1532728014585,1532728029409","[487,596,575,661]","[318,494,432,581],[484,599,572,664],[484,594,574,666]","1532728010014,1532728020718,1532728039167","[864,864]","true","null"
"","image-button-response","32","580393","0.0-11.0-11.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","33","600751","0.0-11.0-12.0","1532727484720","10-305","13-434","4395,3238","","","","","","[774,692],[467,606]","false,true","1532728045756,1532728054988","[466,773,605,691]","[566,773,344,694],[463,772,604,693]","1532728051561,1532728061529","[864,864]","true","null"
"","image-button-response","34","602754","0.0-11.0-14.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","35","609640","0.0-12.0","1532727484720","10-305","13-434","6885","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 2 </font></p>","0","","","","","","","","","","",""
"","waiting-room","36","610163","0.0-13.0","1532727484720","10-305","13-434","","","","","0","dfe2a351-eecf-4f0a-b994-6945858e96d6","","","","","","","","",""
"","teacher","37","636632","0.0-14.0-0.0","1532727484720","10-305","13-434","8451,7272","","","","","","[278,384],[596,659]","true,false","1532728079580,1532728091045","[277,595,383,658]","[273,831,380,664],[271,592,380,659]","1532728083586,1532728097409","[864,864]","true","null"
"","image-button-response","38","638637","0.0-14.0-2.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","39","660442","0.0-14.0-3.0","1532727484720","10-305","13-434","5532,2277","","","","","","[103,212],[479,461]","false,false","1532728105135,1532728112615","[102,479,212,460]","[670,672,805,808],[106,475,214,464]","1532728110148,1532728121220","[864,864]","true","null"
"","image-button-response","40","662444","0.0-14.0-5.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","41","690179","0.0-14.0-6.0","1532727484720","10-305","13-434","5149,3080","","","","","","[86,371],[681,490]","false,false","1532728128560,1532728137777","[87,680,370,488]","[91,862,371,841],[91,679,372,490]","1532728134508,1532728150956","[864,864]","true","null"
"","image-button-response","42","692181","0.0-14.0-8.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","43","712502","0.0-14.0-9.0","1532727484720","10-305","13-434","3973,2272","","","","","","[155,524],[381,612]","false,false","1532728157121,1532728165243","[154,380,524,610]","[159,538,151,525],[156,380,527,615]","1532728162781,1532728173279","[864,864]","true","null"
"","image-button-response","44","714505","0.0-14.0-11.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","45","769338","0.0-14.0-12.0","1532727484720","10-305","13-434","8459,2439,7335","","","","","","[121,375],[493,462],[493,375]","true,false,false","1532728183931,1532728192346,1532728219651","[120,491,374,460]","[118,331,373,427],[116,493,370,463],[118,491,374,462]","1532728189720,1532728212128,1532728230113","[864,864]","true","null"
"","image-button-response","46","771340","0.0-14.0-14.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","check_point_button","47","784985","0.0-15.0","1532727484720","10-305","13-434","13644","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 3 </font></p>","0","","","","","","","","","","",""
"","waiting-room","48","785309","0.0-16.0","1532727484720","10-305","13-434","","","","","0","4a2583bf-2a95-42ba-8b52-db0cf2d4d143","","","","","","","","",""
"","teacher","49","813075","0.0-17.0-0.0","1532727484720","10-305","13-434","2954,6235","","","","","","[529,520],[756,608]","false,false","1532728249230,1532728260983","[528,755,520,606]","[385,528,439,521],[531,755,519,607]","1532728254556,1532728273852","[864,864]","true","null"
"","image-button-response","50","815077","0.0-17.0-2.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","51","867311","0.0-17.0-3.0","1532727484720","10-305","13-434","4092,3406,6904","","","","","","[675,556],[762,699],[763,554]","false,false,false","1532728280136,1532728288575,1532728302746","[675,761,554,697]","[677,864,558,738],[677,762,558,700],[677,761,557,699]","1532728284981,1532728295655,1532728328087","[864,864]","true","null"
"","image-button-response","52","869313","0.0-17.0-5.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","53","910138","0.0-17.0-6.0","1532727484720","10-305","13-434","4939,4486,8583","","","","","","[451,642],[654,736],[653,642]","false,false,false","1532728335219,1532728344675,1532728363285","[451,652,642,734]","[540,540,747,748],[452,654,642,738],[454,650,644,737]","1532728339992,1532728354515,1532728370914","[864,864]","true","null"
"","image-button-response","54","912140","0.0-17.0-8.0-0.0","1532727484720","10-305","13-434","null","","img/thumb_up.png","null","","","","","","","","","","",""
"","teacher","55","934818","0.0-17.0-9.0","1532727484720","10-305","13-434","7731,3846","","","","","","[651,594],[752,700]","true,false","1532728380838,1532728389078","[650,751,593,699]","[380,653,340,596],[647,752,590,699]","1532728385043,1532728395594","[864,864]","true","null"
