"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","2303","0.0-0.0","1532118983891","10-242","10-234","","","","","","","","","","","","","","","","",""
"","survey-text","1","40222","0.0-1.0","1532118983891","10-242","10-234","37916","{""Q0"":""10-242"",""Q1"":""10-234""}","","","","","","","","","","","","","","",""
"","my_image_button","2","54269","0.0-2.0-0.0","1532118983891","10-242","10-234","14046","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","130794","0.0-2.0-1.0","1532118983891","10-242","10-234","76524","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","141097","0.0-2.0-2.0","1532118983891","10-242","10-234","10303","","","0","","","","","","","","","","","","",""
"","waiting-room","5","141642","0.0-3.0","1532118983891","10-242","10-234","","","","","0","5a93df6f-622c-4599-8f7d-157dee06ae8d","","","","","","","","","","",""
"","teacher","6","280066","0.0-4.0-0.0","1532118983891","10-242","10-234","10540,12702,6553,8100,2570,14747,4048","","","","","","459","545","652","738","[502,698]","[445,639],[448,752],[549,754],[558,644],[554,698],[446,697]","[459,545,652,738]","[313,532,576,724],[300,545,653,767],[462,628,612,763],[455,585,621,730],[444,595,651,749],[357,542,648,743],[461,536,644,744]","864,864","true","null"
"","html-button-response","7","283067","0.0-4.0-2.0-0.0","1532118983891","10-242","10-234","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","8","329428","0.0-4.0-3.0","1532118983891","10-242","10-234","28620,4040","","","","","","675","761","646","761","[715,707]","[647,705]","[675,761,646,761]","[626,759,643,759],[674,794,645,802]","864,864","true","null"
"","html-button-response","9","332430","0.0-4.0-5.0-0.0","1532118983891","10-242","10-234","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
