"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","5041","0.0-0.0","1532113559238","42-8","56-07","","","","","","","","","","","","","","","","",""
"","survey-text","1","29495","0.0-1.0","1532113559238","42-8","56-07","24452","{""Q0"":""42-8"",""Q1"":""56-07""}","","","","","","","","","","","","","","",""
"","my_image_button","2","46456","0.0-2.0-0.0","1532113559238","42-8","56-07","16958","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","106268","0.0-2.0-1.0","1532113559238","42-8","56-07","59811","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","145907","0.0-2.0-2.0","1532113559238","42-8","56-07","39637","","","0","","","","","","","","","","","","",""
"","waiting-room","5","146462","0.0-3.0","1532113559238","42-8","56-07","","","","","0","8408093c-4fc6-45c8-a9cc-6cf60f4f4136","","","","","","","","","","",""
"","teacher","6","186453","0.0-4.0-0.0","1532113559238","42-8","56-07","5323,6209","","","","","","594","680","677","763","[601,683],[677,759]","","[594,680,677,763]","[331,616,407,693],[590,687,673,769]","864,864","true","null"
"","html-button-response","7","189455","0.0-4.0-2.0-0.0","1532113559238","42-8","56-07","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","8","216309","0.0-4.0-3.0","1532113559238","42-8","56-07","6191,2171","","","","","","381","566","576","662","[387,585],[563,657]","","[381,566,576,662]","[77,397,252,596],[378,573,576,669]","864,864","true","null"
"","html-button-response","9","219312","0.0-4.0-5.0-0.0","1532113559238","42-8","56-07","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","10","223337","0.0-5.0","1532113559238","42-8","56-07","4024","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","","","",""
"","html-button-response","11","226609","0.0-6.0","1532113559238","42-8","56-07","3271","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","","","",""
"","waiting-room","12","230022","0.0-7.0","1532113559238","42-8","56-07","","","","","0","efe9920b-4081-4867-a3bc-5ad6e8d58cac","","","","","","","","","","",""
"","teacher","13","249564","0.0-8.0-0.0","1532113559238","42-8","56-07","3769,2413","","","","","","319","405","128","277","[325,137],[401,275]","","[319,405,128,277]","[38,337,20,146],[319,411,131,285]","864,864","true","null"
"","html-button-response","14","252566","0.0-8.0-2.0-0.0","1532113559238","42-8","56-07","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","15","268290","0.0-8.0-3.0","1532113559238","42-8","56-07","2384,2174","","","","","","586","672","613","769","[592,619],[669,766]","","[586,672,613,769]","[233,600,321,634],[578,680,610,775]","864,864","true","null"
"","html-button-response","16","271290","0.0-8.0-5.0-0.0","1532113559238","42-8","56-07","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","17","288296","0.0-8.0-6.0","1532113559238","42-8","56-07","1780,1854","","","","","","588","674","320","406","[595,326],[670,401]","","[588,674,320,406]","[402,608,130,339],[582,681,315,415]","864,864","true","null"
"","html-button-response","18","291298","0.0-8.0-8.0-0.0","1532113559238","42-8","56-07","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
