"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","1970","0.0-0.0","1532113786605","8-215","7-216","","","","","","","","","","","","","","","","",""
"","survey-text","1","12857","0.0-1.0","1532113786605","8-215","7-216","10884","{""Q0"":""8-215"",""Q1"":""7-216""}","","","","","","","","","","","","","","",""
"","my_image_button","2","41743","0.0-2.0-0.0","1532113786605","8-215","7-216","28883","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","59427","0.0-2.0-1.0","1532113786605","8-215","7-216","17684","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","79715","0.0-2.0-2.0","1532113786605","8-215","7-216","20287","","","0","","","","","","","","","","","","",""
"","waiting-room","5","80262","0.0-3.0","1532113786605","8-215","7-216","","","","","0","22b5a5b9-3b35-4794-94f0-1271a249d7a7","","","","","","","","","","",""
"","teacher","6","694331","0.0-4.0-0.0","1532113786605","8-215","7-216","14257,6710,10223,13405,9169,5585,8359,8604","","","","","","152","544","247","669","[388,514],[368,360],[262,378],[198,633],[500,459]","[599,313],[362,210],[588,599]","[152,544,247,669]","[392,626,458,635],[400,644,513,701],[391,604,321,522],[350,541,237,564],[247,505,268,608],[235,522,312,528],[135,429,286,716],[219,523,553,769]","864,864","false","null"
"","html-button-response","7","697333","0.0-4.0-1.0-0.0","1532113786605","8-215","7-216","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","teacher","8","909497","0.0-4.0-3.0","1532113786605","8-215","7-216","14675,5783,7121,14449,12424,6587,8081,5329","","","","","","658","776","294","762","[720,496],[735,357],[709,688],[735,738],[718,583]","[725,269],[729,776],[616,366]","[658,776,294,762]","[682,766,405,575],[650,798,305,565],[638,847,331,728],[480,824,345,705],[511,859,335,784],[576,855,333,749],[438,842,334,747],[659,856,340,752]","864,864","false","null"
"","html-button-response","9","912498","0.0-4.0-4.0-0.0","1532113786605","8-215","7-216","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","check_point_button","10","939843","0.0-5.0","1532113786605","8-215","7-216","27343","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","","","",""
"","html-button-response","11","990936","0.0-6.0","1532113786605","8-215","7-216","51092","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","","","",""
"","waiting-room","12","991462","0.0-7.0","1532113786605","8-215","7-216","","","","","0","7a6a78ba-127d-451d-b909-3d57994aeeae","","","","","","","","","","",""
"","teacher","13","1050392","0.0-8.0-0.0","1532113786605","8-215","7-216","7753,6019,4033,5693","","","","","","653","772","565","651","[716,605],[747,572]","[760,546],[674,666]","[653,772,565,651]","[633,853,499,680],[648,812,577,680],[659,822,582,644],[678,819,560,621]","864,864","true","null"
"","html-button-response","14","1053395","0.0-8.0-2.0-0.0","1532113786605","8-215","7-216","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","15","1163599","0.0-8.0-3.0","1532113786605","8-215","7-216","6838,3328,5233,4664,4716,9748","","","","","","231","729","170","602","[692,213],[584,585],[249,361]","[200,260],[749,254],[508,624]","[231,729,170,602]","[601,784,139,275],[452,743,132,621],[128,788,156,640],[221,852,163,643],[214,727,168,687],[226,728,150,609]","864,864","true","null"
"","html-button-response","16","1166600","0.0-8.0-5.0-0.0","1532113786605","8-215","7-216","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","17","1215479","0.0-8.0-6.0","1532113786605","8-215","7-216","5341,3543,3368","","","","","","565","741","330","763","[717,748],[631,348]","[763,383]","[565,741,330,763]","[581,846,658,847],[530,838,300,822],[570,742,318,778]","864,864","true","null"
"","html-button-response","18","1218482","0.0-8.0-8.0-0.0","1532113786605","8-215","7-216","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","19","1366071","0.0-8.0-9.0","1532113786605","8-215","7-216","6974,4441,1704,3577,2793,6412,6320,3087","","","","","","174","300","361","708","[233,498],[193,693],[233,389],[193,416],[284,380]","[300,342],[314,433],[160,437]","[174,300,361,708]","[332,642,393,659],[355,764,366,691],[223,523,465,632],[104,358,473,784],[110,266,370,746],[47,298,375,807],[179,267,362,766],[183,302,364,714]","864,864","true","null"
"","html-button-response","20","1369074","0.0-8.0-11.0-0.0","1532113786605","8-215","7-216","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","21","1496071","0.0-8.0-12.0","1532113786605","8-215","7-216","4717,4724,2497,2913,4230,2865,3752","","","","","","491","606","458","544","[560,471],[598,473],[513,531],[499,473]","[602,442],[475,497],[505,555]","[491,606,458,544]","[486,655,400,575],[499,852,427,639],[505,709,451,646],[530,738,463,582],[549,655,460,599],[514,635,465,631],[493,628,466,540]","864,864","true","null"
"","html-button-response","22","1499074","0.0-8.0-14.0-0.0","1532113786605","8-215","7-216","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","23","1512135","0.0-9.0","1532113786605","8-215","7-216","13060","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1","","","","","","","","","","","","",""
