"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","18406","0.0-0.0","1532114535514","8-403","8-223","","","","","","","","","","","","","","","","",""
"","survey-text","1","33300","0.0-1.0","1532114535514","8-403","8-223","14891","{""Q0"":""8-403"",""Q1"":""8-223""}","","","","","","","","","","","","","","",""
"","my_image_button","2","66823","0.0-2.0-0.0","1532114535514","8-403","8-223","33520","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","124255","0.0-2.0-1.0","1532114535514","8-403","8-223","57431","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","155243","0.0-2.0-2.0","1532114535514","8-403","8-223","30986","","","0","","","","","","","","","","","","",""
"","waiting-room","5","155769","0.0-3.0","1532114535514","8-403","8-223","","","","","0","30bff16d-4e46-4679-8d1a-024c9ee4b5bb","","","","","","","","","","",""
"","teacher","6","431351","0.0-4.0-0.0","1532114535514","8-403","8-223","20374,10628,19148,18237,8252,4892,7555,9674","","","","","","353","742","102","188","[537,146],[475,147],[384,153],[637,145]","[294,306],[529,316],[790,206],[623,72]","[353,742,102,188]","[328,464,373,469],[358,473,480,565],[366,485,366,464],[456,597,119,210],[294,414,122,206],[365,543,92,182],[622,718,167,224],[321,430,125,184]","864,864","false","null"
"","html-button-response","7","434353","0.0-4.0-1.0-0.0","1532114535514","8-403","8-223","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","teacher","8","602422","0.0-4.0-3.0","1532114535514","8-403","8-223","6279,3584,3127,2918,1975,3360,3945,4730","","","","","","670","756","469","768","[709,619]","[649,430],[770,434],[659,608],[787,612],[650,765],[773,774],[780,705]","[670,756,469,768]","[298,462,215,301],[412,645,549,668],[268,374,578,671],[420,516,661,757],[714,820,685,782],[326,460,551,647],[700,769,572,644],[696,774,462,551]","864,864","false","null"
"","html-button-response","9","605427","0.0-4.0-4.0-0.0","1532114535514","8-403","8-223","null","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null","","","","","","","","","","","","",""
"","check_point_button","10","661612","0.0-5.0","1532114535514","8-403","8-223","56183","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","","","",""
