"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","23414","0.0-0.0","1532117630228","10-232","10-233","","","","","","","","","","","","","","","","",""
"","survey-text","1","37988","0.0-1.0","1532117630228","10-232","10-233","14572","{""Q0"":""10-232"",""Q1"":""10-233""}","","","","","","","","","","","","","","",""
"","my_image_button","2","61542","0.0-2.0-0.0","1532117630228","10-232","10-233","23553","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","80062","0.0-2.0-1.0","1532117630228","10-232","10-233","18518","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","95646","0.0-2.0-2.0","1532117630228","10-232","10-233","15583","","","0","","","","","","","","","","","","",""
"","waiting-room","5","95971","0.0-3.0","1532117630228","10-232","10-233","","","","","0","6f0138e8-fd33-4ddc-b691-a5f03956bc13","","","","","","","","","","",""
"","teacher","6","310107","0.0-4.0-0.0","1532117630228","10-232","10-233","8912,21422,19909,12565,6176,8146","","","","","","626","712","126","350","[678,145]","[739,123],[727,349],[621,353],[620,124],[677,112]","[626,712,126,350]","[178,698,205,441],[209,690,139,425],[204,691,131,376],[124,700,55,328],[640,716,7,329],[639,708,127,329]","864,864","true","null"
"","html-button-response","7","313109","0.0-4.0-2.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","8","415147","0.0-4.0-3.0","1532117630228","10-232","10-233","11025,3895,4604,5269,11032","","","","","","548","747","246","332","[657,293]","[543,294],[758,289],[650,340],[660,240]","[548,747,246,332]","[393,654,342,525],[98,781,348,694],[300,816,49,267],[575,740,46,314],[574,743,262,323]","864,864","true","null"
"","html-button-response","9","418147","0.0-4.0-5.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","10","455874","0.0-5.0","1532117630228","10-232","10-233","37725","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","","","",""
"","html-button-response","11","475009","0.0-6.0","1532117630228","10-232","10-233","19134","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","","","",""
"","waiting-room","12","478564","0.0-7.0","1532117630228","10-232","10-233","","","","","0","825870df-7d97-4e41-8c85-a252e12053fa","","","","","","","","","","",""
"","teacher","13","523190","0.0-8.0-0.0","1532117630228","10-232","10-233","5402,4067,7309","","","","","","297","451","184","270","[307,191],[446,265],[303,267]","","[297,451,184,270]","[169,685,162,443],[171,606,163,288],[295,459,167,275]","864,864","true","null"
"","html-button-response","14","526192","0.0-8.0-2.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","15","561408","0.0-8.0-3.0","1532117630228","10-232","10-233","5058,3301","","","","","","402","540","277","543","[414,283],[533,535]","","[402,540,277,543]","[378,450,271,313],[408,540,277,541]","864,864","true","null"
"","html-button-response","16","564409","0.0-8.0-5.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","17","637410","0.0-8.0-6.0","1532117630228","10-232","10-233","6023,11216,6596","","","","","","544","630","608","774","[556,617],[625,769]","[636,614]","[544,630,608,774]","[454,568,580,622],[487,628,609,619],[548,632,613,776]","864,864","true","null"
"","html-button-response","18","640412","0.0-8.0-8.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","19","688980","0.0-8.0-9.0","1532117630228","10-232","10-233","4849,7221,4831","","","","","","268","618","188","536","[279,523],[613,197]","[641,493]","[268,618,188,536]","[333,606,333,494],[270,323,493,554],[271,619,190,527]","864,864","true","null"
"","html-button-response","20","691982","0.0-8.0-11.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","21","789244","0.0-8.0-12.0","1532117630228","10-232","10-233","8803,4832,3687,3942","","","","","","574","696","638","724","[636,641],[640,719],[591,681],[692,686]","","[574,696,638,724]","[319,646,377,648],[628,646,635,729],[585,647,636,724],[584,698,635,727]","864,864","true","null"
"","html-button-response","22","792245","0.0-8.0-14.0-0.0","1532117630228","10-232","10-233","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","23","805104","0.0-9.0","1532117630228","10-232","10-233","12857","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1","","","","","","","","","","","","",""
