"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2145","0.0-0.0","1528579026198","48-6","","","","","","","","","","","","",""
"","survey-text","1","9977","0.0-1.0","1528579026198","48-6","7828","{""Q0"":""48-6""}","","","","","","","","","","",""
"","my_image_button","2","24073","0.0-2.0-0.0","1528579026198","48-6","14094","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","53209","0.0-2.0-1.0","1528579026198","48-6","29135","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","54641","0.0-2.0-2.0","1528579026198","48-6","1431","","","0","","","","","","","","",""
"","learner","5","111525","0.0-3.0-0.0","1528579026198","48-6","56874","","","","true","323","535","676","821","","[326.14,648.58],[545.11,760.37]","true","null"
"","learner","6","141735","0.0-3.0-1.0","1528579026198","48-6","30209","","","","true","453","703","414","564","[518.13,502.78],[670.63,458.14]","","true","null"
"","learner","7","151632","0.0-3.0-2.0","1528579026198","48-6","9895","","","","true","615","724","642","749","[648.98,686.18]","[554.35,749]","true","null"
"","learner","8","162248","0.0-3.0-3.0","1528579026198","48-6","10615","","","","true","408","657","544","670","","[386.83,553.1],[663.28,693.36]","true","null"
"","check_point_button","9","181209","0.0-4.0","1528579026198","48-6","18960","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","186008","0.0-5.0","1528579026198","48-6","4797","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","210394","0.0-6.0-0.0","1528579026198","48-6","24383","","","","false","494","589","648","725","[522.51,703.91]","[728.53,527.92]","true","null"
"","learner","12","227154","0.0-6.0-1.0","1528579026198","48-6","16758","","","","false","592","708","336","514","","[638.73,538.39],[538.38,253.19]","true","null"
"","learner","13","246563","0.0-6.0-2.0","1528579026198","48-6","19406","","","","false","568","763","301","403","","[776.97,330.16],[543.02,474.22]","true","null"
"","learner","14","252843","0.0-6.0-3.0","1528579026198","48-6","6278","","","","false","406","543","537","655","","[485.96,425.21],[551.48,697.48]","true","null"
"","learner","15","262516","0.0-6.0-4.0","1528579026198","48-6","9672","","","","false","14","403","292","672","[286.69,305.85],[386.26,629.47]","","true","null"
"","check_point_button","16","268277","0.0-7.0","1528579026198","48-6","5758","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","291446","0.0-8.0-0.0","1528579026198","48-6","23167","","","","false","397","517","451","735","[408.61,534.12],[460.43,706.59]","","true","null"
"","learner","18","305661","0.0-8.0-1.0","1528579026198","48-6","14213","","","","false","340","438","375","657","","[537.79,548.36],[316.55,421.71]","true","null"
"","learner","19","330151","0.0-8.0-2.0","1528579026198","48-6","24489","","","","false","189","496","374","599","[432.57,392.47],[437.13,579.27]","","true","null"
"","learner","20","335504","0.0-8.0-3.0","1528579026198","48-6","5350","","","","false","232","530","973","1225","[454.16,553.14],[494.05,681.2]","","true","null"
"","learner","21","369601","0.0-8.0-4.0","1528579026198","48-6","34096","","","","false","468","874","389","581","[499.93,532.27],[497.82,419.39]","","true","null"
"","check_point_button","22","386427","0.0-9.0","1528579026198","48-6","16825","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","495446","0.0-10.0-0.0","1528579026198","48-6","109018","","","","false","228","603","568","751","[482.72,588.02],[421.01,699.61]","","true","null"
"","learner","24","543138","0.0-10.0-1.0","1528579026198","48-6","47689","","","","false","533","656","526","708","[557.29,647.51],[590.91,539.68]","","true","null"
"","learner","25","550745","0.0-10.0-2.0","1528579026198","48-6","7606","","","","false","534","740","578","678","","[493.74,670.4],[658,455.7]","true","null"
"","learner","26","554681","0.0-10.0-3.0","1528579026198","48-6","3934","","","","false","383","533","627","689","","[596.14,681.76],[474.81,537.49]","true","null"
"","learner","27","559490","0.0-10.0-4.0","1528579026198","48-6","4806","","","","false","155","433","487","621","[310.06,574.76]","[491.16,402.03]","true","null"
"","check_point_button","28","563073","0.0-11.0","1528579026198","48-6","3583","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","569756","0.0-12.0-0.0","1528579026198","48-6","6681","","","","false","282","650","339","694","[382.85,404.12],[298.69,671.08]","","true","null"
"","learner","30","573899","0.0-12.0-1.0","1528579026198","48-6","4142","","","","false","350","674","471","661","[473.4,512.19],[649.92,646.79]","","true","null"
"","learner","31","579668","0.0-12.0-2.0","1528579026198","48-6","5766","","","","false","247","501","652","725","","[344.08,573],[535,769.56]","true","null"
"","learner","32","585500","0.0-12.0-3.0","1528579026198","48-6","5830","","","","false","578","739","668","711","","[704.76,755.27],[661.61,562.25]","true","null"
"","learner","33","590020","0.0-12.0-4.0","1528579026198","48-6","4518","","","","false","514","714","530","666","[525.74,641.31],[628.07,553.97]","","true","null"
"","check_point_button","34","592484","0.0-13.0","1528579026198","48-6","2464","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","","",""
"","learner","35","597036","0.0-14.0-0.0","1528579026198","48-6","4550","","","","false","658","895","629","745","","[758.97,532.85],[662.78,762.29]","true","null"
"","learner","36","604513","0.0-14.0-1.0","1528579026198","48-6","7475","","","","false","582","691","500","769","[587.79,720.21],[610.14,545.92]","","true","null"
"","learner","37","609669","0.0-14.0-2.0","1528579026198","48-6","5154","","","","false","449","654","256","435","[582.94,398.44],[616.95,271.44]","","true","null"
"","learner","38","614389","0.0-14.0-3.0","1528579026198","48-6","4719","","","","false","431","730","322","568","[616.5,338.01],[717.51,455.27]","","true","null"
"","learner","39","618940","0.0-14.0-4.0","1528579026198","48-6","4550","","","","false","480","673","311","450","[532.09,352.37]","[432.54,581.49]","true","null"
"","check_point_button","40","625996","0.0-15.0","1528579026198","48-6","7056","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 5</font></p>","0","","","","","","","","",""
"","html-button-response","41","626996","0.0-16.0","1528579026198","48-6","999","","<p align='center' style='font-size:25px;' > ¡ACORDATE DE QUE ALGUIEN TE DEJÓ ESTAS PISTAS PARA QUE ENCUENTRES LA CAJA! </p>","0","","","","","","","","",""
"","learner","42","633640","0.0-17.0-0.0","1528579026198","48-6","6641","","","","false","395","549","414","668","","[679.82,528.21],[380.09,445.18]","true","null"
"","learner","43","638511","0.0-17.0-1.0","1528579026198","48-6","4870","","","","false","659","764","430","494","","[566.62,504.13],[774.98,341.31]","true","null"
"","learner","44","642135","0.0-17.0-2.0","1528579026198","48-6","3622","","","","false","425","702","464","565","[446.09,554.28],[583.62,509.6]","","true","null"
