"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","2574","0.0-0.0","1528665408995","103-10","","","","","","","","","","","","",""
"","survey-text","1","13927","0.0-1.0","1528665408995","103-10","11351","{""Q0"":""103-10""}","","","","","","","","","","",""
"","my_image_button","2","27576","0.0-2.0-0.0","1528665408995","103-10","13647","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","41424","0.0-2.0-1.0","1528665408995","103-10","13846","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","51415","0.0-2.0-2.0","1528665408995","103-10","9991","","","0","","","","","","","","",""
"","learner","5","68003","0.0-3.0-0.0","1528665408995","103-10","16582","","","","true","283","466","613","698","[292.95,640.22],[433.78,686.64]","","true","null"
"","learner","6","87859","0.0-3.0-1.0","1528665408995","103-10","19854","","","","true","524","552","554","584","[539,569.63]","[649.32,503.21]","true","null"
"","learner","7","95603","0.0-3.0-2.0","1528665408995","103-10","7743","","","","true","885","1373","907","1599","","[268.81,776.23],[256.2,524.3]","true","null"
"","learner","8","100475","0.0-3.0-3.0","1528665408995","103-10","4871","","","","true","345","364","574","593","[352.74,583.66]","[272.69,418.09]","true","null"
"","check_point_button","9","117652","0.0-4.0","1528665408995","103-10","17175","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","127152","0.0-5.0","1528665408995","103-10","9498","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","140255","0.0-6.0-0.0","1528665408995","103-10","13102","","","","false","488","515","702","725","[499.64,714.69]","[585.52,312.98]","true","null"
"","learner","12","147479","0.0-6.0-1.0","1528665408995","103-10","7222","","","","false","584","727","494","557","[717.28,549.11],[595.08,507.57]","","true","null"
"","learner","13","152071","0.0-6.0-2.0","1528665408995","103-10","4591","","","","false","127","483","272","749","","[559.1,392.88],[702.43,617.65]","true","null"
"","learner","14","158279","0.0-6.0-3.0","1528665408995","103-10","6206","","","","false","465","482","345","368","[473.16,357.42]","[354.17,412.46]","true","null"
"","learner","15","163399","0.0-6.0-4.0","1528665408995","103-10","5118","","","","false","45","654","133","835","","[693,320.27],[713.44,674.62]","true","null"
"","check_point_button","16","168735","0.0-7.0","1528665408995","103-10","5335","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","171607","0.0-8.0-0.0","1528665408995","103-10","2871","","","","false","67","600","94","386","","[467,571.31],[776.08,474.16]","true","null"
"","learner","18","177668","0.0-8.0-1.0","1528665408995","103-10","6059","","","","false","418","565","348","474","[422.37,468.9],[552.66,353.79]","","true","null"
"","learner","19","183935","0.0-8.0-2.0","1528665408995","103-10","6265","","","","false","586","670","320","460","[664.97,457.91],[589.23,321.61]","","true","null"
"","learner","20","192793","0.0-8.0-3.0","1528665408995","103-10","8857","","","","false","296","313","530","548","[303.32,539.66]","[281.86,402.16]","true","null"
"","learner","21","198305","0.0-8.0-4.0","1528665408995","103-10","5510","","","","false","487","502","415","432","[493.27,423.85]","[230.61,546.93]","true","null"
"","check_point_button","22","200289","0.0-9.0","1528665408995","103-10","1982","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","203899","0.0-10.0-0.0","1528665408995","103-10","3607","","","","false","183","618","174","485","","[598.69,688.43],[567.24,573.65]","true","null"
"","learner","24","207305","0.0-10.0-1.0","1528665408995","103-10","3406","","","","false","308","832","283","449","","[724.26,603.66],[561.27,723.85]","true","null"
"","learner","25","209473","0.0-10.0-2.0","1528665408995","103-10","2167","","","","false","245","587","25","348","","[413.03,582.75],[558.64,764.54]","true","null"
"","learner","26","213498","0.0-10.0-3.0","1528665408995","103-10","4022","","","","false","249","460","245","385","","[599.81,384.21],[633.51,643.36]","true","null"
"","learner","27","219866","0.0-10.0-4.0","1528665408995","103-10","6367","","","","false","312","607","598","723","","[408.25,488.69],[494.54,441.77]","true","null"
"","check_point_button","28","221521","0.0-11.0","1528665408995","103-10","1655","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","228962","0.0-12.0-0.0","1528665408995","103-10","7438","","","","false","661","704","349","507","[700.13,347.85],[662.67,501.94]","","false","null"
"","learner","30","235098","0.0-12.0-1.0","1528665408995","103-10","6134","","","","false","336","350","593","613","[342.1,603.97]","[481.05,309.92]","true","null"
"","learner","31","240106","0.0-12.0-2.0","1528665408995","103-10","5007","","","","false","380","521","548","636","[519.84,546.84],[379.13,634.27]","","false","null"
"","learner","32","246346","0.0-12.0-3.0","1528665408995","103-10","6238","","","","false","522","592","476","601","[524.49,599.45],[591.79,474.23]","","false","null"
"","learner","33","250692","0.0-12.0-4.0","1528665408995","103-10","4344","","","","false","344","656","22","440","","[762.01,732.33],[488.78,574.54]","true","null"
"","check_point_button","34","263886","0.0-13.0","1528665408995","103-10","13192","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","1","","","","","","","","",""
