"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","1894","0.0-0.0","1528667637001","106-11","","","","","","","","","","","","",""
"","survey-text","1","8757","0.0-1.0","1528667637001","106-11","6859","{""Q0"":""106-11""}","","","","","","","","","","",""
"","my_image_button","2","19572","0.0-2.0-0.0","1528667637001","106-11","10813","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","33219","0.0-2.0-1.0","1528667637001","106-11","13646","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","40155","0.0-2.0-2.0","1528667637001","106-11","6935","","","0","","","","","","","","",""
"","learner","5","66048","0.0-3.0-0.0","1528667637001","106-11","25886","","","","true","385","484","564","618","[385.71,570.65],[481.15,613.61]","","true","null"
"","learner","6","77936","0.0-3.0-1.0","1528667637001","106-11","11885","","","","true","411","534","369","624","[417.67,393.49]","[531.64,625.6]","true","null"
"","learner","7","103263","0.0-3.0-2.0","1528667637001","106-11","25326","","","","true","539","778","320","467","","[775.91,468.84],[537.5,322.73]","true","null"
"","learner","8","113622","0.0-3.0-3.0","1528667637001","106-11","10357","","","","true","257","468","484","625","[264.62,501.33]","[466.86,624.34]","false","null"
"","check_point_button","9","136402","0.0-4.0","1528667637001","106-11","22777","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","147882","0.0-5.0","1528667637001","106-11","11478","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","156706","0.0-6.0-0.0","1528667637001","106-11","8822","","","","false","224","397","423","501","[394.75,500.12]","[231.96,436.97]","false","null"
"","learner","12","163897","0.0-6.0-1.0","1528667637001","106-11","7190","","","","false","310","480","391","473","[324.52,422.32]","[478.07,471.63]","false","null"
"","learner","13","169273","0.0-6.0-2.0","1528667637001","106-11","5374","","","","false","567","704","557","675","[702.96,557.15],[566.26,673.65]","","false","null"
"","learner","14","177386","0.0-6.0-3.0","1528667637001","106-11","8110","","","","false","287","409","650","782","[405.47,648.87]","[371.47,770.1]","false","null"
"","learner","15","185145","0.0-6.0-4.0","1528667637001","106-11","7758","","","","false","344","387","578","680","[383.38,676.68],[341.69,575.86]","","false","null"
"","check_point_button","16","187554","0.0-7.0","1528667637001","106-11","2408","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 1</font></p>","0","","","","","","","","",""
"","learner","17","193690","0.0-8.0-0.0","1528667637001","106-11","6133","","","","false","348","435","198","342","[365.98,334.16]","[432.27,196.28]","true","null"
"","learner","18","206597","0.0-8.0-1.0","1528667637001","106-11","12905","","","","false","582","606","242","346","[582.85,239.55],[600.41,345.75]","","false","null"
"","learner","19","212749","0.0-8.0-2.0","1528667637001","106-11","6151","","","","false","635","723","422","685","","[632.19,422.1],[720.74,680.17]","false","null"
"","learner","20","219549","0.0-8.0-3.0","1528667637001","106-11","6798","","","","false","513","577","343","488","[554.47,356.66]","[510.84,488.09]","true","null"
"","learner","21","224054","0.0-8.0-4.0","1528667637001","106-11","4503","","","","false","682","808","294","458","[771.92,312.44],[703.62,433.19]","","true","null"
"","check_point_button","22","225237","0.0-9.0","1528667637001","106-11","1183","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 2</font></p>","0","","","","","","","","",""
"","learner","23","230045","0.0-10.0-0.0","1528667637001","106-11","4807","","","","false","604","700","603","737","[600.28,602.77],[648.64,731.07]","","false","null"
"","learner","24","235902","0.0-10.0-1.0","1528667637001","106-11","5855","","","","false","574","634","326","667","[624.09,661.24]","[630.89,321.08]","true","null"
"","learner","25","241550","0.0-10.0-2.0","1528667637001","106-11","5645","","","","false","568","687","592","629","[677.42,597.79],[569.12,627.69]","","true","null"
"","learner","26","262760","0.0-10.0-3.0","1528667637001","106-11","21209","","","","false","308","455","377","516","[304.09,515.78],[304.2,379.3]","","false","null"
"","learner","27","268296","0.0-10.0-4.0","1528667637001","106-11","5534","","","","false","503","608","562","691","[500.15,562.55],[526.91,685.02]","","false","null"
"","check_point_button","28","269632","0.0-11.0","1528667637001","106-11","1335","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 3</font></p>","0","","","","","","","","",""
"","learner","29","276081","0.0-12.0-0.0","1528667637001","106-11","6447","","","","false","428","541","496","696","[423.53,497.46]","[499.34,690.74]","false","null"
"","learner","30","280183","0.0-12.0-1.0","1528667637001","106-11","4101","","","","false","604","692","554","648","[650.65,640.96],[601.86,553.1]","","false","null"
"","learner","31","284135","0.0-12.0-2.0","1528667637001","106-11","3950","","","","false","467","684","324","426","","[682.65,424.89],[465.52,320.66]","false","null"
"","learner","32","289503","0.0-12.0-3.0","1528667637001","106-11","5366","","","","false","267","372","310","398","[365.97,384.63]","[264.81,311.63]","true","null"
"","learner","33","294960","0.0-12.0-4.0","1528667637001","106-11","5454","","","","false","516","633","304","430","[557.05,407.95],[614.14,327.03]","","true","null"
"","check_point_button","34","296297","0.0-13.0","1528667637001","106-11","1336","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINASTE EL NIVEL 4</font></p>","0","","","","","","","","",""
"","learner","35","314968","0.0-14.0-0.0","1528667637001","106-11","18670","","","","false","NaN","NaN","NaN","NaN","[582.32,524.56]","[661.03,301.15]","false","81"
