"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","Id","rt","responses","stimulus","button_pressed","Prueba","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Consistency","key_press"
"true","fullscreen","0","7176","0.0-0.0","1528664231362","98-20","","","","","","","","","","","","",""
"","survey-text","1","28951","0.0-1.0","1528664231362","98-20","21771","{""Q0"":""98-20""}","","","","","","","","","","",""
"","my_image_button","2","41430","0.0-2.0-0.0","1528664231362","98-20","12478","","img/caja.png","0","","","","","","","","",""
"","my_image_button","3","48829","0.0-2.0-1.0","1528664231362","98-20","7399","","img/caja_con_ejemplos.png","0","","","","","","","","",""
"","my_image_button","4","57766","0.0-2.0-2.0","1528664231362","98-20","8935","","","0","","","","","","","","",""
"","learner","5","74456","0.0-3.0-0.0","1528664231362","98-20","16685","","","","true","221","296","550","703","[281.61,561.93],[232.15,691.08]","","true","null"
"","learner","6","82961","0.0-3.0-1.0","1528664231362","98-20","8502","","","","true","391","445","568","618","[417.66,593.56]","[419.14,345.21]","true","null"
"","learner","7","91185","0.0-3.0-2.0","1528664231362","98-20","8222","","","","true","339","511","329","513","","[435.78,530.9],[412.54,305.72]","true","null"
"","learner","8","99402","0.0-3.0-3.0","1528664231362","98-20","8214","","","","true","529","893","436","711","[714.74,569.53]","[457.25,757.83]","true","null"
"","check_point_button","9","117482","0.0-4.0","1528664231362","98-20","18079","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0","","","","","","","","",""
"","html-button-response","10","124481","0.0-5.0","1528664231362","98-20","6999","","<p align='center' style='font-size:25px;' > HAY 10 NIVELES <br> ¿ESTÁS LISTO/A PARA EMPEZAR? </p>","0","","","","","","","","",""
"","learner","11","134499","0.0-6.0-0.0","1528664231362","98-20","10016","","","","false","233","395","598","752","[248.94,612.37],[383.54,737.77]","","true","null"
"","learner","12","139868","0.0-6.0-1.0","1528664231362","98-20","5367","","","","false","293","506","488","713","[401.21,598.83]","[265.18,549.29]","true","null"
"","learner","13","147531","0.0-6.0-2.0","1528664231362","98-20","7661","","","","false","382","791","417","747","[587.37,592.49]","[400.23,774.95]","true","null"
"","learner","14","152395","0.0-6.0-3.0","1528664231362","98-20","4863","","","","false","539","659","580","670","[599.95,624.43]","[532.08,709.9]","true","null"
